,src,true_meaning,literal_translation,predicted
1576,飞蛾投火,A seeking one's own doom,Moth to fire,Many hands make light work
1577,食而不化,Eat without digesting - read without understanding,Eat without melting,Missing the forest for the trees
1578,饥寒交迫,Live in hunger and cold,Suffer hunger and cold,Definition: <definition of the Chinese idiom>
1579,饮恨而终,Die with a grievance in one's heart,End with hatred,Bitter end
1580,饮鸩止渴,A remedy worse than what it is supposed to cure,Drink poison to quench thirst,Stage-1 output:
1581,饭来张口，衣来伸手,Be waited on hand and foot,"Open your mouth with food, stretch out your hand with clothes",1) A clear conscience is a soft pillow.
1582,饱汉不知饿汉饥,The well-fed don't know how the starving suffer,A full man does not know a hungry man is hungry,The rich get richer and the poor get poorer.
1583,饱食终日，无所用心,Eat one's fill and idle about all day long,Eating all day long,Putting the icing on the cake.
1584,饱以老拳,Hit one full in the face,Full of old fists,Analysis: <explain why the selected English idiom is the best match>
1585,养虎遗患,Appeasement brings disaster,The legacy of raising tigers,Make a rod for your own back
1586,余勇可贾,Still having plenty of fight left in one,Yu Yongke Jia,1)
1587,首鼠两端,Shilly-shally,Both ends of the first mouse,To play both ends against the middle.
1588,马到成功,Gain an immediate victory,Horse to success,The tide is about to turn.
1589,马革裹尸,Die on the battle field,Die on the battlefield,Definition: <definition of the Chinese idiom>
1590,骑虎难下,Have no way to back down,It's hard to ride a tiger,Practice makes perfect
1591,腾蛟起凤,A mounting dragon and a soaring phoenix - a rising man,Teng Jiao Qi Feng,1
1592,骄兵必败,Pride goes before a fall (destruction),Pride will be defeated,To be too big for one's britches
1593,驴头不对马嘴,Irrelevant,Donkey's head is wrong,Gilding the lily
1594,骨鲠在喉,Have an opinion one cannot suppress,Bone stuck in throat,4) A lingering taste in the mouth.
1595,高不成，低不就,Can't have one's heart's desire but won't stoop for less,High or low,Don't judge a book by its cover.
1596,魂飞魄散,Frightened out of one's senses (or wits),Soul flies away,<select the most relevant English idiom>
1597,鱼龙混杂,Good and bad people mixed together,A mixed bag,A motley crew
1598,鱼游釜中,In imminent peril (danger),Fish in the cauldron,To be between the devil and the deep blue sea
1599,鳞次栉比,"In orderly rows, like scales on a fish or the teeth of a comb",Row upon row,Having a dog in the fight
1600,鸟尽弓藏,Cast aside the bow once the birds are gone,All the birds are hidden,"4) When all is said and done, the archer is left with nothing to do."
1601,鸣锣开道,Pave (clear or smooth) the way for,Ring the gong to clear the way,Steal the show
1602,鸣鼓而攻,Sound the call for attack,Beat the drum,To all bark and no bite
1603,鹊巢鸠占,"One person seizes another's place, land, etc",Magpie nest dove account,Definition: <insert definition>
1604,鹑衣百结,In rags,Quail coat knot,2)
1605,鹤发童颜,Healthy in old age,He Fa Tong Yan,<idiom> (if there is only one candidate)
1606,鹤立鸡群,Stand head and shoulders above others,Stand out from the crowd,4) To sugarcoat the truth
1607,鸡鸣狗盗,Small tricks,Crowing and dog thieves,To profit from someone else's misfortune
1608,鸡零狗碎,In bits and pieces,Chicken bits and pieces,A situation where everything is mixed together and it's hard to separate the different elements.
1609,鸡犬不宁,Greatly upset like a poultry yard visited by a fox,The dog is restless,A house divided against itself cannot stand.
1610,鸡犬不惊,Complete peace and quiet,Chickens and dogs are not surprised,A peaceful haven
1611,鹬蚌相争，渔翁得利,It's the third party that benefits from the tussle,"Two dogs fight, play off",4) <optional other idioms>
1612,鹿死谁手,Who will win the prize,Who will kill the deer,To sweet-talk
1613,黄粱一梦,Pipe dream,A dream of Huangliang,<select the most relevant English idiom>  or
1614,黑云压城城欲摧,The city might crumble under the mass of dark clouds,Dark clouds overwhelm the city,The axe is hanging over one's head.
1615,黔驴技穷,At one's wits' end,Guizhou donkey is poor,To be at a loss
1616,点金成铁,Turn gold into iron,Touch gold into iron,To make a silk purse out of a sow's ear
1617,点石成金,Touch a stone and turn it into gold,Turn stone into gold,Turn lead into gold.
1618,鼎足之势,A situation dominated by three powerful rivals,The momentum of the tripod,Alternatives: <list the other English idioms that are also relevant>
1619,鼠窃狗盗,Play petty tricks on the sly,Rat and dog thief,Explanation: <optional explanation>
1620,齐头并进,Advance side by side,Go hand in hand,Alternatives:
1621,龙潭虎穴,Dangerous places,Longtan Tiger Cave,Missing the forest for the trees
1622,龙腾虎跃,A scene of bustling activity,Dragon and Tiger Leap,"<idiom>, <reason>"
