|src|true_meaning|literal_translation|predicted
674|आग ठंडी कर देना|to pacify anger|to make the fire cool|The cooling of the fire
675|आग फूँकना|to provoke conflict|to blow the fire|blowing fire
676|आग लगा बैठना|to cause trouble unknowingly|to set fire and sit (having done it)|sit on fire
677|आग बुझाना|to resolve a heated situation|to extinguish the fire|extinguishing fire
678|आग से निकाल कर राख करना|to ruin after rescuing|to take out from fire and make ash|Removing ash from the fire
679|रंग पकड़ना|to mature or become noticeable|to catch color|catching colour
680|रंग उड़ जाना|to lose color/enthusiasm|for color to fly away|flying colour
681|रंगत फीकी पड़ना|to look dull/sickly|for the complexion to turn faint|color fading
682|रंग चढ़ना|to intensify (influence/celebration)|for the color to mount|coloring
683|रंग बदलते देखना|to witness changing loyalties|to see colors changing|Watching the color change
684|नाक सूँघना|to pry into someone’s matters|to sniff the nose|runny nose
685|नाक का बाल बन जाना|to become someone’s favorite|to become the hair of the nose|The development of nasal hair
686|नाक दबा देना|to silence forcefully|to press the nose down|squeezing the nose
687|नाक का पानी उतरना|to be utterly humiliated|for the nose’s water to come down|runny nose
688|कान खींचना|to scold/punish strictly|to pull the ear|pulling the ears
689|कान देना-न देना|to ignore what’s being said|to give an ear—or not|To listen or not to listen
690|कान फूंकना|to warn privately|to blow into the ear|blowing out the ears
691|कान पर हाथ धरे रह जाना|to be shocked speechless|to remain with a hand placed on the ear|Holding hands over the ears
692|आँख मिलाना|to meet the gaze confidently|to join/match eyes|eye contact
693|आँख नीची करना|to lower eyes in shame|to lower the eyes|lowering the eye
694|आँखें झुकाना|to be modest/shy|to cast the eyes down|squinting
695|आँखें तरेर कर देखना|to glare angrily|to look by glaring the eyes|Looking with open eyes
696|आँखें चमक उठना|to become excited|for the eyes to light up|blinking of the eyes
697|आँखें नम होना|to get teary-eyed|for the eyes to become moist|moisture in the eyes
698|आँखें धोखा खा जाना|to be visually deceived|for the eyes to be deceived|Deceiving eyes
699|आँख का तारा|apple of the eye|the star of the eye|star of the eye
700|आँख का तिल|someone extremely dear|the mole/beauty-spot of the eye|eye moles
701|हाथ से काम निकलना|to get work done by others|for work to come out from the hand|working out by hand
702|हाथ गंदा करना|to do dirty/lowly work|to make the hand dirty|getting your hands dirty
703|हाथ पर नाग रखना|to sit idle doing nothing|to keep a snake on the hand|holding a snake on your hand
704|हाथ डूबना|to sink resources into loss|for the hand to drown|drowning hands
705|हाथ थामे रह जाना|to stay dependent|to remain holding the hand|holding hands
706|हाथ काटकर अलग करना|to sever ties completely|to cut off the hand and separate|cutting off the hand
707|पाँव धरना|to set foot (begin)|to set/place the foot|footing
708|पाँव पसारकर सोना|to relax without worry|to sleep with feet stretched out|Spread your legs and go to sleep.
709|पाँव फिसलना|to make a slip/mistake|for the foot to slip|slippery foot
710|पाँव भारी होना|to be pregnant (euphemistic)|for the foot to be heavy|heaviness of the foot
711|पाँव के नीचे से जमीन खींच लेना|to pull the rug from under|to pull the ground from under the feet|Pulling the ground under the feet
712|पाँव तले रौंदना|to crush mercilessly|to crush under the feet|trampling underfoot
713|पाँव रोक देना|to restrain someone|to stop the foot|stopping foot
714|मुँह फुलाना|to sulk|to puff the mouth|swelling of the mouth
715|मुँह पर ताला लगाना|to stay tight-lipped|to put a lock on the mouth|locking the mouth
716|मुँह तक आकर लौट जाना|to almost say but stop|to come up to the mouth and turn back|Going back to the mouth
717|मुँह फूटना|to blurt under pressure|for the mouth to burst (into speech)|bursting at the mouth
718|मुँह के बल गिरना|to fail badly|to fall face-first|falling over the face
719|मुँह-माँगा दाम|price asked without bargaining|price asked by the mouth|low price
720|मुँह में खून लगना|to become greedy after first gain|to get blood in the mouth|bleeding in the mouth
721|मुँह में लौकी डालना|to hush someone completely|to put a bottle gourd in the mouth|Putting onions in the mouth
722|मुँह का स्वाद बदलना|to lighten the mood|to change the taste of the mouth|Changes in mouth taste
723|माथा ठोककर मानना|to accept with resignation|to accept by knocking the forehead|nodding your head
724|माथे का पसीना पोंछना|to finish hard work|to wipe the sweat of the forehead|wiping the forehead with sweat
725|माथे की लकीरें|lines of fate/concern|lines on the forehead|forehead lines
726|माथे पे शिकन|wrinkles of worry|wrinkles on the forehead|wrinkling of the forehead
727|माथा घूम जाना|to feel dizzy/overwhelmed|for the head/forehead to spin|dizziness
728|माथे पर हाथ मारना|to smack the forehead in regret|to strike the hand on the forehead|clapping on the forehead
729|दिल दहला देना|to horrify|to make the heart tremble|to warm the heart
730|दिल में घर कर लेना|to make a place in one’s heart|to make a home in the heart|Taking Home in the Heart
731|दिल पर चोट लगना|to be emotionally hurt|to have a blow strike the heart|injury to the heart
732|दिल पे लेना-न लेना|to take/not take to heart|to take on the heart—or not|Taking it to heart
733|दिल का रोग|heartache/grief|disease of the heart|heart disease
734|दिल की बात कहना|to confide|to say the heart’s matter|Speak from the heart
735|दिमाग घूम जाना|to get furious or confused|the mind spinning|dizziness
736|दिमाग पर पत्थर रखना|to force oneself against feelings|to place a stone on the brain|Putting a stone on the head
737|दिमाग में कील ठोकना|to insist hard on a point|to hammer a nail into the brain|Nails in the brain
738|दिमाग की नस दबना|to lose calm badly|for the brain’s vein to be pressed|Narrowing of the spinal cord
739|दिमाग ठप्प होना|to have a mental block|for the brain to be shut down|brain stasis
740|दाँत दिखाना-न दिखाना|to mock or avoid mocking|to show the teeth—or not show|showing or not showing teeth
741|दाँत लगना|to become accustomed (badly)|for the teeth to catch|tooth decay
742|दाँत भींचना|to endure silently|to clench the teeth|tooth whitening
743|दाँत की नोक पर रखना|to remember exactly|to keep on the tip of the tooth|Putting on the tooth tip
744|दाँत-काटे का बैर|deadly enmity|tooth-bitten enmity|tooth - cutting bar
745|जुबान की मिठास|sweetness of speech|sweetness of the tongue|sweetness of tongue
746|जुबान सरकना|to slip of the tongue|for the tongue to slip|slip of the tongue
747|जुबान की धार|sharpness of words|the edge/blade of the tongue|edge of the tongue
748|जुबान को ताला|to keep silent|a lock to the tongue|lock the tongue
749|खून खौल जाना|to boil with rage|for the blood to boil|boiling of blood
750|खून सूख जाना|to be terrified or horrified|for the blood to dry up|dehydration
751|खून पीना|to exploit harshly|to drink blood|drinking blood
752|खून के आँसू रोना|to suffer painfully|to cry tears of blood|Crying tears of blood
753|पसीना चूना|to toil severely|for sweat to drip|sweaty lime
754|पसीना टपकना|to sweat profusely|for sweat to drip|dripping sweat
755|पसीना रोक देना|to relieve / cool down|to stop the sweat|stop sweating
756|सीने में साँप लोटना|to be eaten up by jealousy|for a snake to roll in the chest|Wrapping a snake in your chest
757|सीने-से-लगाना|to embrace warmly|to press to the chest|breast-to-breast
758|सीना-जोरी करना|to browbeat|to do chest-force (browbeating)|sewing
759|सीने में धुआँ उठना|to smolder with anger|for smoke to rise in the chest|Smoking in the chest
760|आग सलाख करना|to test by ordeal|to do a fire-rod ordeal|barking up the wrong tree
761|आग में घिरना|to be surrounded by trouble|to be surrounded in fire|surrounded by fire
762|आग सेंकना|to take advantage amid conflict|to warm oneself at the fire|cooking fire
763|आग ओकना|to speak venomously|to spew fire|burning
764|आग बुझा बैठना|to lose spirit prematurely|to sit having put out the fire|extinguishing fire
765|रंग में रंग जाना|to blend in completely|to be colored in the same color|coloring in color
766|रंग उछालना|to malign someone publicly|to fling/throw color|bouncing colour
767|रंगत लौटना|to regain glow/cheer|for the complexion to return|colored return
768|नाक घुसाना|to interfere unnecessarily|to insert the nose|stuffing the nose
769|नाक मरोड़ना|to insult or humiliate publicly|to twist the nose|wringing of the nose
770|नाक पर गुस्सा होना|to get angry quickly|to have anger on the nose|irritation of the nose
771|नाक नीचे करना|to make someone feel inferior|to put the nose down|lowering the nose
772|नाक का बाल खींचना|to criticize harshly|to pull the hair of the nose|pulling nose hair
773|कान में भनक लगना|to get a small hint about something|for a hint/buzz to catch in the ear|ringing in the ears
774|कान में फूँक मार देना|to secretly manipulate someone|to blow a puff into the ear|blowing in the ear
775|कान पकड़े रह जाना|to stay astonished or scared|to remain holding the ears|keeping your ears closed
776|कान के नीचे थप्पड़ मारना|to slap soundly (figuratively punish)|to slap below the ear|slapping under the ear
777|कान में सीटी बजना|to hear unpleasant sounds / tinnitus|for a whistle to sound in the ear|whistling in the ear
778|आँखों से आँसू पोछना|to comfort someone in sorrow|to wipe tears from the eyes|Washing tears from eyes
779|आँखों में बसा लेना|to remember fondly|to lodge/settle in the eyes|settling in the eyes
780|आँखें फेर लेना|to turn away / stop supporting|to turn the eyes away|looking away
781|आँख मूँदकर भरोसा करना|to trust blindly|to trust with eyes closed|The Bible teaches us to trust in God.
782|आँखों के आगे अंधेरा छा जाना|to be momentarily shocked|for darkness to spread before the eyes|Darkness before the eyes
783|आँख बचाकर काम करना|to do secretly|to do the work after evading the eyes|Keeping an Eye Out
784|आँख खुलना|to become aware of truth|for the eye to open|eye opening
785|आँखों में आँसू भर आना|to feel deeply emotional|for tears to fill the eyes|Tears in the eyes
786|आँखें नीची करना|to bow in embarrassment or respect|to lower the eyes|lowering the eyes
787|हाथ तंग होना|to be financially tight|for the hands to be tight|tightness of the hand
788|हाथ ऊपर होना|to be superior in status or strength|for the hand to be above|hand up
789|हाथ नीचे होना|to lose or be defeated|for the hand to be below|hands down
790|हाथ जोड़ना|to plead or show respect|to join the hands|joining hands
791|हाथ में काम न होना|to be idle|to have no work in the hand|Lack of hands
792|हाथ न लगाना|to avoid touching / involvement|to not touch with the hand|not touching
793|हाथ छुड़ाना|to escape from control|to pull the hand free|loosening the hand
794|हाथ रोक देना|to stop mid-action|to stop the hand|holding back the hand
795|पैर रखना भी पाप|to be forbidden to enter|even to set foot is a sin|It 's also a sin to put your feet up .
796|पैर जमने न देना|to obstruct someone’s progress|to not let the feet set|Do not let your feet stand still
797|पैर पर पाँव रखना|to challenge or overtake|to place foot upon foot|standing on the foot
798|पैरों में गिरना|to beg for mercy|to fall at the feet|falling to the feet
799|पैर भारी होना|to bring bad luck (figuratively)|for the foot to be heavy|heaviness of legs
800|पैर धोना|to show deep respect|to wash the feet|foot washing
801|पैर पकड़ लेना|to surrender humbly|to catch/hold the feet|grasping feet
802|पैर रोक लेना|to hesitate before action|to hold back the foot|stopping foot
803|मुँह मोड़ लेना|to turn away emotionally|to turn the mouth/face aside|turning away
804|मुँह बंद कर देना|to silence completely|to shut the mouth|shut your mouth
805|मुँह चलाना|to speak unnecessarily|to run the mouth|running the mouth
806|मुँह लगाना|to get too familiar with elders|to put (someone) to the mouth|mouthing
807|मुँह मीठा होना|to taste success|for the mouth to become sweet|sweetness of mouth
808|मुँह बिचकाना|to show irritation or disgust|to pucker/twist the mouth|wringing of the mouth
809|मुँह पीटना|to cry loudly in distress|to beat the mouth/face|spanking
810|मुँह धुलवाना|to publicly humiliate|to have the mouth/face washed|mouth washing
811|माथे पर शिकन डालना|to frown slightly|to put a crease on the forehead|Squeezing the forehead
812|माथे पर लकीरें पड़ना|to show anxiety or anger|for lines to fall on the forehead|Stripes on the forehead
813|दिल में जगह बनाना|to win affection|to make a place in the heart|Make room in the heart
814|दिल में काँटे चुभना|to feel deeply hurt|for thorns to prick in the heart|A thorn in the heart
815|दिल में खटका होना|to have a lingering doubt|for a jolt/unease to be in the heart|heart palpitations
816|दिल में गुस्सा रखना|to hold a grudge|to keep anger in the heart|Keeping Anger in the Heart
817|दिल की गहराई से|from the bottom of one’s heart|from the depth of the heart|From the bottom of my heart
818|दिल हिल जाना|to be shaken emotionally|for the heart to shake|heartbeat
819|दिल बाग़-बाग़ होना|to feel immense joy|for the heart to become a garden|The Garden of the Hearts
820|दिल टूटकर रह जाना|to be devastated|to remain with the heart broken|being heartbroken
821|दिल को सुकून मिलना|to find peace|for the heart to find peace|How can we find peace of mind?
822|दिमाग खराब कर देना|to frustrate someone badly|to make the brain bad|Destroying the brain
823|दिमाग ठिकाने लग जाना|to become sensible again|for the brain to be set in place|Becoming mentally unstable
824|दिमाग पर बोझ डालना|to overthink|to place a burden on the brain|Stress on the brain
825|दिमाग गुम होना|to lose one’s senses|for the brain to be lost|loss of consciousness
826|दिमाग की बत्ती बुझ जाना|to go blank suddenly|for the brain’s lamp to go out|The light of the mind goes out.
827|दाँत किटकिटाना|to shiver in cold or fear|to chatter the teeth|tooth grinding
828|दाँत नाखून से काम लेना|to struggle hard|to use teeth and nails|Tooth - to - nail work
829|दाँतों तले अंगुली दबाना|to be stunned in awe|to press a finger under the teeth|Pressing the finger under the teeth
830|जुबान बंद कर देना|to silence someone completely|to shut the tongue|shutting down the tongue
831|जुबान काट लेना|to regret words spoken|to bite the tongue|cutting off the tongue
832|जुबान कसना|to rebuke harshly|to tighten the tongue|stiffening of the tongue
833|जुबान के पक्के|to be true to one’s word|firm/steadfast of tongue|stiffness of the tongue
834|जुबान पर ताला|to keep secrets locked|a lock on the tongue|lock on tongue
835|जुबान फिसल जाना|to say something accidentally|for the tongue to slip|slip of the tongue
836|जुबान सरक जाना|to misspeak|for the tongue to slide|slip of the tongue
837|जुबान की मिठास रखना|to speak kindly|to keep sweetness of the tongue|Keeping the Sweetness of the Tongue
838|खून का रिश्ता निभाना|to uphold family ties|to uphold a blood relationship|To be related by blood
839|पसीना रोकना|to relieve effort|to stop sweat|stopping sweating
840|पसीने-पसीने होना|to be drenched with effort|to become sweat-sweat (drenched in sweat)|sweating
841|सीने में दर्द होना|to feel emotional pain|to have pain in the chest|chest pain
842|सीने में जलन होना|to feel envy|to have burning in the chest|burning in the chest
843|सीने में लावा उठना|to boil in anger|for lava to rise in the chest|Lava rising in the chest
844|सीने पर बोझ होना|to feel guilt or burden|to have a burden on the chest|burden on the chest
845|सीने में आग लगना|to feel jealous or provoked|for fire to be set in the chest|Fever in the chest
846|रंग दिखाना|to reveal true colors|to show color|Show colour
847|रंगीन होना|to enjoy life freely|to become colorful|colourful
848|रंग फीका पड़ना|to lose enthusiasm|for the color to fade/pale|color fading
849|रंग उड़ना|to fade away|for the color to fly/fade|flying colour
850|रंग जमना|to gain traction|for color to set|colour freezing
851|रंग लगना|to start celebrating|to have color applied|coloring
852|रंग में रँग जाना|to blend or adapt fully|to be dyed in the color|staining in color
853|अति सर्वत्र वर्जयेत|too much of anything is bad|excess should be avoided everywhere|very ubiquitously tabooed
854|अपना उल्लू सीधा करना|to act selfishly for personal gain|to straighten one’s owl|Straightening your owl
855|अक्ल ठिकाने लगाना|to make someone sensible|to set the sense in its proper place|Reasonableness
856|अंगूर खट्टे हैं|to pretend disinterest after failure|the grapes are sour|The grapes are sour.
857|अपनी डींगे हाँकना|to brag about oneself|to blare one’s own boasts|Showing off your pride
858|अपनी नाक ऊँची रखना|to maintain self-respect|to keep one’s nose high|Keeping your nose up
859|अपना राग अलापना|to talk only about oneself|to chant one’s own tune|Let go of your anger
860|अंधे का हाथ बटेर लगना|to gain something valuable by accident|a blind man’s hand finds a quail|Blindness of the hand
861|अंधेरे में रखना|to hide the truth deliberately|to keep (someone) in the dark|keeping in the dark
862|अपनी गलती मानना|to accept one’s fault|to accept one’s own mistake|Accepting Your Fault
863|अपनी डफली अपना राग|to do things one’s own way|one’s own drum, one’s own tune|Your duffly your rag
864|अक्ल का पैमाना टूट जाना|to act beyond reason|the gauge of wisdom breaks|The breakdown of the intellectual scale
865|अक्ल घास चरने जाना|to act utterly foolish|the intellect goes to graze grass|Going out to pasture
866|अंधे के हाथ तिलक लगना|rare stroke of luck|a tilak falls upon a blind man’s hand|Blindness of the hand
867|अंधा बांटे रेवड़ी|to favor one’s own people|a blind man distributes sweets|blindly divided herd
868|अंधे की लकड़ी|someone completely dependent on another|the blind man’s stick|wood of the blind
869|अंधे की लाठी छीनना|to exploit the helpless|to snatch the blind man’s staff|Taking away the wand of the blind
870|अंधे की भी आँख खुल गई|even the ignorant realized the truth|even the blind man’s eye opened|And the eyes of the blind were opened.
871|अंधे की रोटी गीली|when bad luck persists|the blind man’s bread is soggy|The blind man's bread was wet.
872|अंधे का नाम सुना, आँखों से नहीं देखा|to hear about something but not experience it|heard the name, not seen with the eyes|Hearing the name of the blind, not seeing with the eyes
873|अंधा क्या चाहे, दो आँखें|people desire what they lack most|what does a blind person want—two eyes|What a blind man wants, two eyes.
874|अंधेरे में रखा जाना|to be kept uninformed|to be kept in darkness|being kept in darkness
875|अंधे को सूरज दिखाना|to tell something obvious|to show the sun to a blind person|Showing the Sun to the Blind
876|अंधे को रास्ता दिखाना|to guide the clueless|to show the path to the blind|Guiding the Blind
877|अंधेरे में बैठना|to stay in ignorance|to sit in darkness|Sitting in the dark
878|अंधा धुन में लगे रहना|to do something mindlessly|to remain stuck in a blind fixation|Being blindly attuned
879|अंधेरे में सुई खोजना|to attempt the impossible|to search for a needle in the dark|Finding a Needle in the Dark
880|अंधे के हाथ में दीपक|a resource wasted on the incapable|a lamp in a blind person’s hand|Lamp in the Hand of a Blind Man
881|अंधा ऊँट सवारी करना|to take foolish risks blindly|to ride a blind camel|riding a blind camel
882|अंधेरे में रोशनी फैलाना|to spread awareness among the ignorant|to spread light in the darkness|Spreading Light in the Dark
883|अंधा राजा प्रजा अंधी|leader and followers both foolish|blind king, subjects blind|The blind king, the blind people.
884|अंधे के भाग्य में चमक|to get lucky unexpectedly|a sparkle in the blind man’s fate|Glowing in the Fate of the Blind
885|अंधे को रास्ता न सूझना|to be completely lost|for a blind person not to perceive the path|Do not guide the blind
886|अंधा प्रेम करना|to love without reason|to love blindly|Blindly Loving
887|अंधे को हाथ का सहारा|a small help to someone in need|the hand’s support for a blind person|Helping the Blind
888|अंधे की लाठी|only source of dependence|a blind man’s staff|the stick of the blind
889|अंधे को सपने में रोशनी दिखना|to imagine impossible hope|light appearing in a blind man’s dream|Seeing a Light in a Dream to a Blind Person
890|अंधेरे में रहना|to be ignorant|to live/stay in darkness|Being in the dark
891|अंधेरे में रास्ता ढूँढना|to act without clear plan|to find a path in the dark|Finding the Way in the Dark
892|अंधेरे में छिपाना|to conceal wrong deeds|to hide in the dark|Hiding in the dark
893|अंधा रेवड़ी बाँटे|favoring without fairness|the blind (man) distributes sweets|Blind Shepherds Share
894|अंधे की किस्मत|blind luck / chance success|the blind man’s luck|The Fate of the Blind
895|अंधे को रंग दिखाना|to try to explain the unexplainable|to show color to a blind person|Showing Color to the Blind
896|अंधे का नाम सुना, चेहरा नहीं देखा|heard about but never met|heard the name, did not see the face|Heard the blind man's name, didn't see his face.
897|अंधा क्या देखे, दो आँखें|one always desires what they lack|what can a blind see—(he needs) two eyes|What the Blind See, Two Eyes
898|अंधा गुस्सा करना|to get blindly angry|to do blind anger|being blindly angry
899|अंधेरे में डूब जाना|to fall into ignorance or despair|to sink into darkness|In the darkness.
900|अंधे के भाग्य में छेद|to have perpetual bad luck|a hole in the blind man’s fate|The Hole in the Blind Man's Destiny
901|अंधे का भाग्य जागना|to get lucky suddenly|the blind man’s fortune awakens|The Fate of the Blind Awakening
902|अंधेरे में भटकना|to wander without direction|to wander in darkness|Wander in the dark
903|अंधा प्रेम अंधा परिणाम|blind love leads to trouble|blind love, blind result|Blind love is the result of blindness.
904|अंधेरे में रहकर उजाला ढूँढना|to struggle for wisdom amidst ignorance|to seek light while staying in darkness|In the midst of the darkness, we find the light.
905|अंधे के हाथ दीपक लगना|to get help at the right time|a lamp attaching to a blind man’s hand|Blind hands lighting a lamp
906|अंधा भी रास्ता पहचान गया|even the unaware understood|even the blind recognized the way|Even the Blind One Knows the Way
907|अंधेरे से डरना|to fear ignorance or truth|to fear darkness|Fear of the Dark
908|अंधे को सीधा रास्ता दिखाना|to guide righteously|to show the straight path to a blind person|Guiding the Blind
909|अंधेरे में दीप जलाना|to bring hope in darkness|to light a lamp in the dark|Lighting a lamp in the dark
910|अंधेरे में ताकना|to look aimlessly|to gaze into the dark|Staring into the dark
911|अंधे को नजर आना|to gain realization unexpectedly|to become visible to a blind person|Seeing the Blind
912|अंधे का रास्ता रोकना|to block someone’s progress unjustly|to block the blind man’s path|Barring the Way of the Blind
913|अंधेरे में खोज करना|to explore with uncertainty|to search in the dark|Searching in the Dark
914|अंधे की चड्डी चुराना|to mock the helpless|to steal a blind man’s underpants|stealing a blind man's shorts
915|अंधे को दर्पण देना|to give something useless to someone incapable|to give a mirror to a blind person|Mirroring the Blind
916|अंधेरे का फायदा उठाना|to exploit ignorance|to take advantage of darkness|How can we make use of the darkness?
917|अंधेरे में झांकना|to peep into the unknown|to peep into the dark|peeping in the dark
918|अंधेरे से बाहर आना|to come out of ignorance|to come out of darkness|Getting Out of the Darkness
919|अंधा राजा राज्य चलाना|incompetent leadership|a blind king running the kingdom|Blind King Running the State
920|अंधे की झोपड़ी में रोशनी|to find hope where none was expected|light in the blind man’s hut|Light in the dark
921|अंधा काँटा निकालना|to help at personal risk|to remove a thorn blindly|removing a blind fork
922|अंधा कानून चलाना|to enforce law without logic|to run/apply blind law|Blindly Following the Law
923|अंधे को अंधेरे में छोड़ना|to abandon someone helpless|to leave the blind in darkness|Leaving the blind in the dark
924|अंधेरे में रहना नहीं चाहिए|one should not stay ignorant|one should not stay in darkness|Do not stay in the dark
925|अंधे को दिशा देनी चाहिए|to help the clueless find their way|one should give direction to a blind person|The blind must be guided.
926|अंधेरे से डरना नहीं चाहिए|one should not fear truth|one should not fear darkness|Don't Be Afraid of the Dark
927|अंधेरे में दीप जलाना अच्छा है|to bring light even when alone|it is good to light a lamp in the dark|Lighting a lamp in the dark is good
928|धरती पर पैर रखना|to stay humble despite success|to place feet on the earth|Putting feet on the ground
929|आसमान से गिरना|to lose everything suddenly|to fall from the sky|falling from the sky
930|हवा में उड़ना|to daydream or be overconfident|to fly in the air|flying in the air
931|पानी में रहकर मगर से बैर|to pick fights with powerful people|living in water, enmity with the crocodile|In the water, the monkey hates monkeys.
932|खुशियों के झूले झूलना|to live in joy|to swing on swings of happiness|The swings of happiness
933|रंगीन मिज़ाज होना|to be flirtatious or fun-loving|to have a colorful temperament|Being colorful
934|दिल से खेलना|to toy with someone’s feelings|to play with the heart|Playing with the heart
935|दिल का मामला|a romantic issue|matter of the heart|heart condition
936|दिल बड़ा रखना|to be generous or forgiving|to keep the heart big|Keeping the Heart Wide
937|दिल छोटा मत करो|don’t lose hope|don’t make the heart small|Don't cut your heart out.
938|दिल लगाना और तोड़ना|to fall in and out of love|to attach the heart and break it|Heartbreaking and heartbreaking
939|दिल का बोझ हल्का करना|to share feelings and feel relieved|to lighten the heart’s burden|Lightening the Burden of the Heart
940|दिल से दिल का रिश्ता|a close emotional connection|heart-to-heart relationship|A heart - to - heart relationship
941|दिल में आग लगाना|to provoke jealousy or passion|to set fire in the heart|Fire in the heart
942|दिल देना और लेना|to love and reciprocate|to give and take the heart|Giving and Taking
943|दिल पर राज करना|to rule someone’s heart|to rule over the heart|Reigning over the heart
944|दिल पर बोझ होना|to feel guilt or heaviness|to have a burden on the heart|burden on the heart
945|दिमाग में खिचड़ी पकना|to overthink randomly|khichdi cooking in the mind|Having hiccups in the brain
946|दिमाग का दही बनाना|to confuse someone completely|to make the brain into curd|How to make brain yogurt
947|दिमाग खपाना|to think very hard|to expend/wear out the brain|brainstorming
948|दिमाग लगाना ज़रूरी है|to use common sense|it is necessary to apply the brain|It is important to be mindful.
949|मुँह में ज़ुबान नहीं|to be timid or silent|no tongue in the mouth|No tongue in the mouth
950|मुँह पर बोलना|to speak directly|to speak on the face|mouth talk
951|मुँह मीठा कराना|to celebrate success with sweets|to make the mouth sweet|to sweeten the mouth
952|नाक कटना|to lose honor|for the nose to be cut|cutting off the nose
953|नाक ऊँची करना|to make someone proud|to raise the nose high|raising the nose
954|नाक बचाना|to save face|to save the nose|protecting the nose
955|नाक दबाना|to force acceptance|to press the nose|squeezing the nose
956|नाक चढ़ाना|to act proudly|to raise the nose|stuffing the nose
957|कान खड़े करना|to become alert|to make the ears stand up|raising ears
958|कान में बात डालना|to inform secretly|to put the matter into the ear|Putting in the ears
959|कान में जूँ न रेंगना|to remain unaffected|not even a louse crawls in the ear|Not crawling lice in the ear
960|पैरों तले ज़मीन खिसकना|to be shocked or panicked|the ground slipping from under the feet|Sliding the ground underfoot
961|पैर उखड़ना|to lose stability|for the feet to get uprooted|dislocation of the foot
962|हाथ बाँधकर बैठना|to stay idle or helpless|to sit with hands tied|sitting handcuffed
963|हाथ उठाना|to hit or bless|to raise the hand|raising hands
964|हाथ साफ़ करना|to steal cleverly|to clean the hand|washing hands
965|हाथ में खेलना|to control completely|to play in the hand|playing in the hand
966|सिर पर चढ़ना|to take advantage of leniency|to climb on the head|climbing on the head
967|सिर पर सवार होना|to be obsessed or enraged|to be mounted on the head|riding on the head
968|सिर ऊँचा रखना|to uphold dignity|to keep the head high|Keeping the head up
969|सिर पर तूफ़ान लाना|to invite big trouble|to bring a storm upon the head|Bringing a Storm to the Head
970|सिर फोड़ना|to fight violently|to smash/break the head|scratching the head
971|सिर पर कर्ज़ होना|to be in debt|to have debt on the head|Debt on the head
972|सिर का दर्द|a troublesome person|pain of the head|headache
973|सीने में जलन|to feel envy|burning in the chest|burning in the chest
974|सीने पर बोझ|to feel guilt or burden|burden on the chest|burden on the chest
975|सीने में हवा भरना|to instill pride or ego|to fill air into the chest|filling the chest with air
976|सीना ठंडा होना|to feel relieved or avenged|for the chest to become cool|chest coldness
977|सीने पर हाथ रखना|to make a heartfelt promise|to keep a hand on the chest|Holding hands on the chest
978|सीने में साँस न लेना|to be extremely scared|to not take breath in the chest|Shortness of breath in the chest
979|मन बनाना|to make up one’s mind|to make up the mind|make up your mind
980|मन भर जाना|to lose interest|for the mind to become full|fullness of mind
981|मन खुश करना|to please someone|to make the mind happy|pleasing the mind
982|मन बदलना|to change opinion suddenly|to change the mind|change of mind
983|मन लगाकर काम करना|to work sincerely|to work having set the mind|work with your mind
984|मन जीत लेना|to win hearts|to win the mind|Conquering the Mind
985|पहला पत्ता गिरने से पहले|by autumn / before the first leaf falls|before the first leaf falls|Before the first leaf falls
986|जंजीरों में बंधा महसूस करना|to feel chained or trapped|to feel bound in chains|Feeling chained in chains
987|मेरी बुरी किस्मत|just my bad luck|my bad luck|My bad luck
988|मेरे जीते-जी|over my dead body / as long as I’m alive|while I'm alive|My win-win
989|दुम दबाकर निकल लेना|to run away in fear (tail between legs)|to slip away with tail tucked|Pulling out
990|घुटने टेक देना|to surrender / kneel in defeat|to kneel down|kneeling
991|कौड़ियों के भाव|for a pittance / dirt cheap|at the price of cowries (shells)|expression of cocoons
992|हाथ गंदे करना|to get one’s hands dirty (do something unsavory)|to make one's hands dirty|getting your hands dirty
993|लाड़-प्यार करना|to pamper / spoil|to dote and pamper|flirting
994|हर तरफ से घेर लेना|to box in / surround on all sides|to surround from all sides|encircling from all sides
995|दिमाग पर छा जाना|to get stuck in one’s head|to spread over the mind|being overwhelmed
996|धंधा पहले, मज़ा बाद में|business before pleasure|business first, fun later|Business first, fun later
997|आसमान छूना (भाव/कीमतें)|to be sky-high (prices, rates)|to touch the sky (prices/rates)|touching the sky (prices)
998|औरत के पल्लू में छिपना|to hide behind a woman’s pallu (show cowardice)|to hide behind a woman's pallu|hiding in a woman's lap
999|बच्चों को भूखा मारना|to let the kids go hungry / starve|to starve the children|starving children
