,Unnamed: 0,src,true_meaning,predicted
247,247,(बिखरेहंसी),(SCATTERED LAUGHTER),Note: The output should be a single sentence.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best: 2) A sense of disarray and confusion.  |  Best:
248,248,उसे हाथ की हड्डियाँ तोड़ने में मज़ा आता है,She likes cracking bones.,Note: The Hindi sentence is an idiom and the translation should be in the sense of the idiom.
249,249,मैं एक कप चाय लूंगी.,I would love a cup of tea.,I will take a day off.
250,250,क्या मुझे सबसे ज्यादा परेशान मेरे फैसले के प्रति सम्मान की अपनी कमी नहीं है.,What disturbs me most is not your lack of respect for my judgment.,"1) If someone can't express their true feelings, how can they express their thoughts?"
251,251,शुक्रwind direction - wind speed is too low to measure,Fri,1) The wind is blowing so gently that it's hard to tell its direction.
252,252,और जब किसी पर हाथ डालते हो तो बिलकुल निर्दय अत्याचारी बनकर हाथ डालते हो!,"and when you seize [someone for punishment], you seize [him] like tyrants.",<select the most relevant English sentence>
253,253,इस फ्रेम पर नज़र डालना.,Take a look at this frame.,Take a closer look at it. OR
254,254,"मैं अपने कार्यालय में होगा, प्रिय.","I will be in my office, darling.","I'll be at the office, sweetheart."
255,255,मंगलवार,Tuesday,2) The day of the week associated with Mars.
256,256,"चालक याकूब और सिपाही अरविंद, रविंद्र व रामनरेश घायल हो गए।","The driver Yakub and constable Arvind, Ravindra and Ram Naresh were injured.",Alternatives: <list the other relevant English sentences>
257,257,Cogl संरचना,Cogl Texture,A house of cards can still stand for a while.
258,258,photo;video;webcam;,photo;video;webcam;,Stage-1 output (definition + candidates): <show the definition and the three candidates>
259,259,और नूह के बाद से (उस वक्त तक) हमने कितनी उम्मतों को हलाक कर मारा और (ऐ रसूल) तुम्हारा परवरदिगार अपने बन्दों के गुनाहों को जानने और देखने के लिए काफी है,"And how many have We destroyed from the generations after Noah. And sufficient is your Lord, concerning the sins of His servants, as Acquainted and Seeing.",Alternatives: <list the other similar English sentences>
260,260,संपर्क विवरण,Contact Details,Stage-1 output (definition + candidates):
261,261,यह विकल्प - I diff से संबंधित है.,This option corresponds to the -N diff option.,```
262,262,अज्ञात,Unknown,2) It's not worth anything.
263,263,फिर जमा करें (_R),_Restore,To sell an animal in the market.
264,264,"धूपपक्षपर रखें,हमेशाधूपओर","Keep on the sunny side, always on the sunny side",Definition: <provide a brief definition of the Hindi sentence>
265,265,- उससे पूछो क्या हुआ.,- Ask him what happened.,Stage-1 output (definition + candidates):
266,266,"लेकिन आप उन्हें प्रयोग महल पिघल और शहरों में जला है, आप अलग अलग नहीं कर रहे हैं।","But if you use them to melt castles and burn cities, you're not different.","You're setting the world ablaze, but you're not making distinctions.  # Output"
267,267,Landover पार्क.,Landover Park.,3) A resort in the mountains.
268,268,"सच में, अनातोलिज, कृपया हमें बतांए.","Really, Anatolij, please tell us.",1) You can't praise a thief. Answer: Best: 1) You can't praise a thief.
269,269,फ़ाइल वैध .desktop फ़ाइल नहीं है,File is not a valid .desktop file,2) The application launcher file is faulty.
270,270,"अतः आपसे गुजारिश है कि टिप्पणी में अवश्य बताएँ और फिर हम निश्चित रूप से 12 अक्तूबर को यह देखेंगे कि उस दिन (और अन्य किसी भी दिन,) आपने पर्यावरण पर अपने क्या विचार व्यक्त किए .","We at GV would love to see your posts on that day too, so do feel free to leave a comment and we will definitely check with you on October 12th to cover what you say on that day (and any day) about the environment.",Alternatives: <list the other two English sentences if they are relevant>
271,271,और उनकी पोशीदा भी फ़हमाईश की कि मैंने उनसे कहा,Then I announced to them and [also] confided to them secretly,<select the most relevant English sentence>
272,272,ये लोग जो बातें (खुदा के बारे में) बनाया करते हैं उनसे तुम्हारा परवरदिगार इज्ज़त का मालिक पाक साफ है,Glory be to your Lord: the Lord of Glory is far above what they attribute to Him.,3) God is far greater than their comprehension. 4)  # Corrected output
273,273,और सजदा करनेवालों में तुम्हारे चलत-फिरत को भी वह देखता है,And your movements among those who bow in homage to God.,He keeps a close eye on everything you do.  #HindiToEnglish #Translation #LinguisticResearch
274,274,तुम मुझे उस से पूछने के लिए कौन हैं?,Who are you to ask me that?,<select the most relevant English sentence>
275,275,"- (क्लिक करता है, धुनों)","- ( clicks, tunes )",<select the most relevant English sentence>
276,276,पंजी ताजा करें (_R),_Refresh Registry,2) Refresh your memory.
277,277,टक्स को बेतरतीब विस्फोटित होने देता है.,Enables random Tux explosions.,Let the taxman have his way.
278,278,यह व्यापार उसे मार रहा है.,This business is killing him.,Note: The Hindi sentence is an idiom and the English sentences are not direct translations but similar in meaning. The context and cultural nuances are maintained.
279,279,यह भावनाओं से काम नहीं करता.,It does not work with our feelings.,1) It's all in the mind.
280,280,एक कुल जहाँ पुरुष 100 को मार कर मरता है.,A clan where a man dies only after killing 100 men.,"Alternatives: <list the other English sentences that are somewhat relevant, but not the best match>"
281,281,"वे, आप के पीछे आराम करेंगे ठोकर होगा, वे गिर जाएगी.",They'll race behind you. They will stumble. They will fall.,Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |  Best: Those who are careless will face the consequences.  |
282,282,©पी@RM nder एम@nkÖÖ ,© P@rM! NdeR M@nkÖÖ ™,2
283,283,किसी ने एक आदेश दायर किया है.,Somebody has filed an injunction.,A directive has been put out.
284,284,"अभी नहीं, अभी एक और बाकीं है.","Not yet, there's still one more.",1
285,285,उनमें वे सदैव रहेंगे। निस्संदेह अल्लाह के पास बड़ा बदला है,Which they will enjoy for ever. Indeed God has greater rewards with Him.,<select the most relevant English sentence>
286,286,एवोल्यूशन बैकअप फ़ाइल का नाम चुनें,Select name of the Evolution backup file,Select the name of the evolution backup file.
287,287,"-क्रेन, मैंटिस?","-Crane, Mantis?",1) Are you kidding me?
288,288,"हाँ, अच्छी तरह से आप मछलीघर चट्टानों की तरह बू आ रही है.","Yeah, well you smell like aquarium rocks.",2
289,289,मैंने नदी में छलाँग लगाकर डुबकी ली।,I dived into the river.,1) I jumped into the river.
290,290,%s min,%s min,3) Just a minute.  # Correct answer
291,291,लिंक को पृष्ठ यदि.,An link to the project web page if provided.,1. <candidate 1>
292,292,कल %l:%M:%S %p,Tomorrow %l:%M:%S %p,What was the time yesterday?
293,293,वर्तमान कॉल हस्तांतरित करें,Transfer the current call,1) The call is being handed over.
294,294,कार्य साप्ताहिक दृश्य: %s. %s,Work Week View: %s. %s,```python
295,295,"केवल आम लोगों को वे सबसे अधिक कुछ भी विश्वास के रूप में , इन कहानियों का मानना ​​है.","Only common people believe these tales, as they believe most anything.",1) They take these stories at face value.  (Score: 0.86)
296,296,इससे लोगों को गर्मी के दिनों में ठंडा पानी मिल सकेगा।,"Using this, people can get cold water in the summer.",3) It's not necessary to do whatever it takes to win.
297,297,उनमें से cIear खींच रहे हैं.,We're pulling clear of them.,They are deceiving us with false information.
298,298,चार्ट,chart,A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR 1) A visual representation of data or information. OR
299,299,संपर्क कनेक्टेड,Contact connected,1) Keeping in touch with someone.
300,300,उपलब्ध क्षेत्र (_v):,A_vailable Fields:,The time available.
301,301,उनका हाल उन लोगों का सा है जो उनसे कुछ ही पेशतर अपने कामों की सज़ा का मज़ा चख चुके हैं और उनके लिए दर्दनाक अज़ाब है,"Like those who lately preceded them, they have tasted the evil result of their conduct; and (in the Hereafter there is) for them a grievous Penalty;-",1) They have already tasted the bitter fruit of their actions.
302,302,फ़ोल्डर आकार (_S),Folder _Size,A binder is a container that holds papers and documents.
303,303,कि सिर्फ एंटोन बिना ही दिखा रहा था!,"That was the same show, just without Anton!",Anton was pretending to be someone he is not.
304,304,कैमरून नाइल्स 'बेटा है.,Cameron is Niles' son.,"For some people, it's a good day."
305,305,"""और निस्संदेह अल्लाह मेरा रब भी है और तुम्हारा रब भी। अतः तुम उसी की बन्दगी करो यही सीधा मार्ग है।""","(Jesus had said): ""Indeed Allah is my Lord and your Lord, so serve Him alone. This is the Straight Way.""",Stage-1 output: <definition + candidates>
306,306,वे सांसारिक जीवन के केवल वाह्य रूप को जानते है। किन्तु आख़िरत की ओर से वे बिलकुल असावधान है,"They know the outward of this world's life, but of the hereafter they are absolutely heedless.",Alternatives: <list the other English sentences that are somewhat relevant>
307,307,और वही तो वह (ख़ुदा) है जिसने पानी (मनी) से आदमी को पैदा किया फिर उसको ख़ानदान और सुसराल वाला बनाया और (ऐ रसूल) तुम्हारा परवरदिगार हर चीज़ पर क़ादिर है,"And it is He Who has created man from water, and has appointed for him kindred by blood, and kindred by marriage. And your Lord is Ever All-Powerful to do what He will.","The one who created man from water and made him a family man is the same one who is your Lord, who has the power to do anything.  OR"
308,308,आपने देखा:,You saw it:,1) It was meant to be.
309,309,बस मुझे बताओ कि क्या उसके पास चाकू था.,Just tell me if he had a knife.,Optional: <list of additional relevant English sentences>
310,310,आउटलुक एक्सप्रेस आंकड़ा आयात कर रहा है,Importing Outlook Express data,The situation is grim.
311,311,"और जो कोई अपने ऊपर ज़ु्ल्म होने के पश्चात बदला ले ले, तो ऐसे लोगों पर कोई इलज़ाम नहीं",There is no blame against him who avenges himself after he has been wronged.,1) An eye for an eye makes the whole world blind.
312,312,"उनके आगे जहन्नम है, जो उन्होंने कमाया वह उनके कुछ काम न आएगा और न यही कि उन्होंने अल्लाह को छोड़कर अपने संरक्षक ठहरा रखे है। उनके लिए तो बड़ी यातना है","Before them is Hell; naught will avail them of that which they earned, nor those whom they took for patrons beside Allah. Theirs shall be a torment mighty.","1) Their greatest foe is their own tongue, which often betrays them."
313,313,कोई घर नहीं...,No home...,1) I'm drowning in despair.
314,314,फंक्शन पाया इंच अनुसरण कर रहा है फ़ाइल नहीं से. को भरें फंक्शन स्तम्भ पहले सक्रिय कर रहा है पंक्तियाँ का समय फंक्शन नाम रखता है शब्द.,"The register function hasn't been found automatically in the following pretty printer files: %s You need to fill yourself the register function columns before enabling the rows. Most of the time the register function name contains the word ""register"".","1) The program is crashing because it can't find the required library, so the execution is halted."
315,315,हम ऊतकों से पेट पैक करते हैं और उसे अच्छी तरह से जांच करते हैं.,We'll pack the abdomen with tissues and examine him thoroughly.,```
316,316,लघु छवि,Thumbnail,1) Snap a quick photo.
317,317,और (क़ौम) सबा के लिए तो यक़ीनन ख़ुद उन्हीं के घरों में (कुदरते खुदा की) एक बड़ी निशानी थी कि उनके शहर के दोनों तरफ दाहिने बाएं (हरे-भरे) बाग़ात थे (और उनको हुक्म था) कि अपने परवरदिगार की दी हुई रोज़ी Âाओ (पियो) और उसका शुक्र अदा करो (दुनिया में) ऐसा पाकीज़ा शहर और (आख़ेरत में) परवरदिगार सा बख्शने वाला,"There was evidence (of the truth) for the people of Sheba in their homeland. (We gave them) two gardens, one on the left and one on the right and (told them), ""Consume the sustenance which your Lord has given to you and give Him thanks. You have a blessed land and an All-forgiving Lord"".",Stage-1 output (definition + candidates): <definition + candidates>
318,318,आश्चर्यजनक रूप से यह टीवी प्रधान घटना रही चूंकि गिरफ़्तारी का समाचार पहले ही लीक हो गया था और मीडिया के लोग समाचार को कवर करने के लिए खालिदा जिया के घर की ओर जा रही सुरक्षा दस्ते के पीछे हो लिये थे.,It was surprisingly a televised event as the news of the arrest was leaked and the media people were trailing the security forces convoy rolling to her house.,Alternatives: <list the other English sentences that are somewhat relevant>
319,319,ड्रोन इस संभाल लेंगे.,The drones will handle this.,2) Nothing has changed.
320,320,पसंदीदा फ़ोल्डर में डाक देखें,Messages,2) Look for new emails in your favorite folder.
321,321,आप इस शाम को हमारे साथ एक आरक्षण है?,Do you have a reservation with us this evening?,Stage-1: <definition + candidates>
322,322,अलगानेवाला,Separator,A person who can tell the difference between two similar things.
323,323,जोखिम उठाइये! पूरी जिंदगी एक जोखिम है।,Take a chance! All life is a chance.,Life is a risk all the way.
324,324,- वे मेरी पीठ पीछे मुझे दोष!,- They blame me behind my back!,3) My friend told me that this job is not within my capacity.
325,325,हम कभी आत्मसमर्पण नहीं कर सकते हैं.,The Führer would never approve. We swore to obey his will.,1) We will never give up.
326,326,'%s' पंचांग में मुलाकात मिली.,Found the appointment in the calendar '%s',1) We met at the appointed time.
327,327,'%s' में संदेश नक़ल कर रहा है,Copying messages to '%s',```
328,328,पता नहीं कहाँ,Don't know where,The final answer is: Best: 1) I am completely disoriented.
329,329,वैज्ञानिक,Scientific,2
330,330,"फ़िलहाल, यात्रियों को विमान का द्वार बंद होने पर अपने स्मार्टफोन, टेब्लेट, तथा अन्य डिवाइस को बंद करने की आवश्यकता होती है।","Currently, passengers are required to turn off their smartphones, tablets and other devices once a plane's door closes.","2) When the plane is about to take off, passengers are required to put their electronic devices in airplane mode."
331,331,और वह राक्षस से जुड़ा हुआ।,And linked to that monster.,2) Connected to a dark force.
332,332,मगर ये कुफ्फ़ार तो सरकशी और नफ़रत (के भँवर) में फँसे हुए हैं भला जो शख़्श औंधे मुँह के बाल चले वह ज्यादा हिदायत याफ्ता होगा,"Or who is this that shall provide for you if He withholds His provision? No, but they persist in disdain and aversion.",2) Those who are consumed by their own pride and hatred are rarely open to constructive criticism.
333,333,"सब कुछ इतनी अराजक, है और अब मैं मुसीबत में हूँ.","Everything is so chaotic, and now I'm in trouble.","2) With everything in such a state of chaos, I'm in a bit of a predicament."
334,334,तंज़ानिया: तंज़ानियाई खोज इंजन,Tanzania: Tanzanian search engine · Global Voices,To bully someone into playing with you.
335,335,ठीक गड़बड़ी वहां है जहाँ अगली सुबह सफाई वाली महिला आती है ...,"Well, where I get hazy is where the cleaning woman shows up the following morning and finds your wife in bed with her lover, riddled with?",Stage-1 output: <definition + candidates>
336,336,"फिर हर प्रकार के फल-फूलों से ख़ुराक ले और अपने रब के समतम मार्गों पर चलती रह।"" उसके पेट से विभिन्न रंग का एक पेय निकलता है, जिसमें लोगों के लिए आरोग्य है। निश्चय ही सोच-विचार करनेवाले लोगों के लिए इसमें एक बड़ी निशानी है","""Then, eat of all fruits, and follow the ways of your Lord made easy (for you)."" There comes forth from their bellies, a drink of varying colour wherein is healing for men. Verily, in this is indeed a sign for people who think.","10) Seek nourishment from all kinds of fruits and flowers and walk the path of your Lord, and from it will come a drink of life that is beneficial to all."
337,337,"अल्लाह कि उसके सिवा कोई इष्ट -पूज्य नहीं, वह महान सिंहासन का रब है।""","God: there is no god but He, the Lord of the Mighty Throne.'",Stage-1 output: <definition + candidates>
338,338,"वह (बुरा परिणाम) तो इसलिए सामने आएगा कि जब अकेला अल्लाह को पुकारा जाता है तो तुम इनकार करते हो। किन्तु यदि उसके साथ साझी ठहराया जाए तो तुम मान लेते हो। तो अब फ़ैसला तो अल्लाह ही के हाथ में है, जो सर्वोच्च बड़ा महान है। -","This has come upon you because when God alone was invoked you disbelieved; but when partners were associated with Him, you believed. But judgement belongs to God, the all-high and supreme.",Alternatives: <list the other relevant English sentences>
339,339,टॉगल करें कि क्या RSVP श्रेत्र दिखाया गया है,Toggles whether the RSVP field is displayed,1) Have you sorted your emails?
340,340,"- आप को जनरल Nearchus, लड़का.","- General Nearchus to you, boy.","Explanation: <optional, provide a brief explanation for the selected sentence>"
341,341,कुत्ते को रोज़ खिलाईएगा।,Please feed the dog every day.,3
342,342,मैं अपने हाथों पर ऐसी कोई खून है.,I have no such blood on my hands.,"2) The more you read, the more you learn."
343,343,पिछला (_P),_Previous,3) The one that has already passed.  (edited)
344,344,आप में से हर तुरंत उसके परमाणु कोठरी से बाहर साफ हो जाएगा.,Each of you will clear out his nuclear closet immediately.,2) He will be utterly destroyed.  # Corrected the answer from 3 to 2
345,345,"भली-भाँति अवतरित हुआ है उस सत्ता की ओर से, जिसने पैदा किया है धरती और उच्च आकाशों को",a revelation from Him Who created the earth and the high heavens.,<select the most relevant English sentence>
346,346,पोर्ट (_P):,_Port:,2) A place where ships come to load and unload goods.
347,347,(ज़ोर बूम),(LOUD BOOM),1) The news of the company's success sent shockwaves through the market.
348,348,काल विभाजन (_T):,_Time divisions:,3
349,349,हाल के दिनों में हुई यह सातवीं घटना है।,This is the seventh incident in the past few days.,He is a person who always tries to do something new.
350,350,वे अच्छी तरह से प्रशिक्षित हैं और वे अच्छी तरह से आयोजित कर रहे हैं.,They're well-trained and they're well-organized.,They are well-trained and are doing well in organizing.
351,351,ऐ ईमानदारों तुममें से जो कोई अपने दीन से फिर जाएगा तो (कुछ परवाह नहीं फिर जाए) अनक़रीब ही ख़ुदा ऐसे लोगों को ज़ाहिर कर देगा जिन्हें ख़ुदा दोस्त रखता होगा और वह उसको दोस्त रखते होंगे ईमानदारों के साथ नर्म और मुन्किर (और) काफ़िरों के साथ सख्त ख़ुदा की राह में जेहाद करेंगे और किसी मलामत करने वाले की मलामत की कुछ परवाह न करेंगे ये ख़ुदा का फ़ज़ल (व करम) है वह जिसे चाहता हे देता है और ख़ुदा तो बड़ी गुन्जाइश वाला वाक़िफ़कार है,"O you who have faith! Should any of you desert his religion, Allah will soon bring a people whom He loves and who love Him, [who will be] humble towards the faithful, stern towards the faithless, waging jihad in the way of Allah, not fearing the blame of any blamer. That is Allah’s grace, which He grants to whomever He wishes, and Allah is all-bounteous, all-knowing.",4
352,352,ये हमारी पहुँच के बाहर है अब सब कुछ तुमाहरे ऊपर है,We can't afford it. It's up to you,Candidates: <list the other two relevant English sentences>
353,353,मैं काफी आप कुछ दिखाने के लिए रोमांचक हूँ,I am quite exciting to show you something,Alternatives: <list the other English sentences in order of relevance>
354,354,मैं आप अधिक जिम्मेदारी लेनी चाहिए.,I THINK YOU SHOULD TAKE MORE RESPONSIBILITY.,Please provide the output for the given Hindi sentence.
355,355,कोई संपर्क नहीं,No contacts,Others: <list the other two options>
356,356,ग्नोम पंचांग से पंचांग को आयात किया गया,Gnome Calendar's calendar import done,"Stage-2 output (if required): <if the model is unsure, provide the top 3 options with confidence scores>"
357,357,[बच्चे गपशप करते हैं],[children chattering],1) It doesn't matter.
358,358,इन्हें अस्पताल ले चलो.,Let's take him to the hospital.,Stage-2: <optional: provide a brief explanation or justification for the selected English sentence>
359,359,उन लोगों ने अपन बाप दादा को गुमराह पाया था,Verily they found their fathers gone astray.,1) Do you have anything to say?
360,360,"जब तुम पलटकर उनके पास जाओगे तो वे तुम्हारे सामने अल्लाह की क़समें खाएँगे, ताकि तुम उन्हें उनकी हालत पर छोड़ दो। तो तुम उन्हें छोड़ ही दो। निश्चय ही वे गन्दगी है और उनका ठिकाना जहन्नम है। जो कुछ वे कमाते रहे है, यह उसी का बदला है","When you return, they will swear to you by God so that you may leave them alone, so leave them alone. They are unclean, and Hell will be their home as a reward for their actions --","2) The dirt they have accumulated is their own, and their destination is hell."
361,361,लाओ त्से.,Lao-Tsé.,2) Come closer.
362,362,हम समय से बाहर हैं.,Tell them we need more time!,2) We have run out of time.
363,363,"मूसा ने कहा, ""क्या तुम सत्य के विषय में ऐसा कहते हो, जबकि यह तुम्हारे सामने आ गया है? क्या यह कोई जादू है? जादूगर तो सफल नहीं हुआ करते।""",Moses said: Speak ye (so) of the Truth when it hath come unto you? Is this magic? Now magicians thrive not.,Alternatives: <list the other English sentences that are somewhat relevant>
364,364,एक रानी जो अपनी रक्षा नहीं कर सकती वो कैसे इस साम्राज्य पर शासन करेगी महाराजा?,"How can a queen who can't defend herself rule this kingdom, King?",1)
365,365,"नूह ने अपने रब को पुकारा और कहा, ""मेरे रब! मेरा बेटा मेरे घरवालों में से है और निस्संदेह तेरा वादा सच्चा है और तू सबसे बड़ा हाकिम भी है।""",And Noah cried unto his Lord and said: My Lord! Lo! my son is of my household! Surely Thy promise is the truth and Thou are the Most Just of Judges.,"I will call out to my God, no matter what happens."
366,366,इसका मेरे नाम.,Its my name.,This is my name.
367,367,या उन्होंने आकाशों और धरती को पैदा किया?,Created they the heavens and the earth! Aye! they will not be convinced.,Candidates:
368,368,मेरी तरफ से यही.,That's all from me.,That's all I can do
369,369,"और जिन लोगों ने उससे हटकर अपने कुछ दूसरे संरक्षक बना रखे हैं, अल्लाह उनपर निगरानी रखे हुए है। तुम उनके कोई ज़िम्मेदार नहीं हो","God is the guardian of even those who have chosen others (idols) besides Him as their guardians (Muhammad), you will not have to answer for them.",Alternatives: <list the other relevant English sentences>
370,370,[कार सींग हार्न],[ CAR HORNS HONK ],Someone who is always in a rush.
371,371,अनुप्रयोग अब मौजूद नहीं है,The application no longer exists,2) The program is no longer supported
372,372,मैंने कहा था कि.,"Fuck this tiger. Oh, my God.",Next best: <select the next relevant English sentence>
373,373,- हाँ.,- Yes.,1) I agree.
374,374,सभी मैं कभी भी चाहते थे आप की रक्षा के लिए था!,All I ever wanted was to protect you!,I've always had your back.  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |
375,375,"और हमने उसे तुम्हारे लिए एक परिधान (बनाने) की शिल्प-कला भी सिखाई थी, ताकि युद्ध में वह तुम्हारी रक्षा करे। फिर क्या तुम आभार मानते हो?",And We taught him the fashioning of coats of armor to protect you from your [enemy in] battle. So will you then be grateful?,3
376,376,'%s' फ़ोल्डर स्कैन नहीं कर सकता है: %s,Could not scan folder '%s': %s,<select the most relevant English sentence>
377,377,स्थान (तिथि) पर,Location at (date),1) At the opportune moment.
378,378,"/ नहीं, मैं अच्छा है कि के साथ नहीं हूँ.","/ No, I'm not good with that.",2
379,379,"हम काम करते हैं , हम दो या तीन वर्षों में, सूखे में हैं.","If we do the job , we are on the dry in two or three years.",We are barely scraping by.  |  We are living on a shoestring budget.  |  We are in a tight financial spot.  |  We are in a tight financial situation.  |  We are in a tight financial corner.  |  We are in a tight financial bind.  |  We are in a tight financial squeeze.  |  We are in a tight financial pinch.  |  We are in a tight financial predicament.  |  We are in a tight financial jam.  |  We are in a tight financial fix.  |  We are in a tight financial hole.  |  We are in a tight financial knot.  |  We are in a tight financial mess.  |  We are in a tight financial quagmire.  |  We are in a tight financial quicksand.  |  We are in a tight financial trap.  |  We are in a tight financial web.  |  We are in a tight financial snare.  |  We are in a tight financial net.  |  We are in a tight financial cage.  |  We are in a tight financial prison.  |  We are in a tight financial dungeon.  |  We are in a tight financial labyrinth.  |  We are in a tight financial maze.  |  We are in a tight financial puzzle.  |  We are in a tight financial enigma.  |  We are in a tight financial riddle.  |  We are in a tight financial mystery.  |  We are in a tight financial conundrum.  |  We are in a tight financial dilemma.  |  We are in a tight financial predicament.  |  We are in a tight financial bind.  |  We are in a tight financial squeeze.  |  We are in a tight financial pinch.  |  We are in a tight financial jam.  |  We are in a tight financial fix.  |  We are in a tight financial hole.  |  We are in a tight financial knot.  |  We are in a tight financial mess.  |  We are in a tight financial quagmire.  |  We are in a tight financial quicksand.  |  We are in a tight financial trap.  |  We are in a tight financial web.  |  We are in a
380,380,फिर हमने तुम्हें इस मामलें में एक खुले मार्ग (शरीअत) पर कर दिया। अतः तुम उसी पर चलो और उन लोगों की इच्छाओं का अनुपालन न करना जो जानते नहीं,"Then We set you upon a pathway of faith, so follow it, and do not follow the inclinations of those who do not know.","We have given you a clear path in this matter, so follow it and do not follow the wishes of those who do not know."
381,381,/clear: मौजूदा वार्तालाप से सभी संदेशों को रिक्त करें,/clear: clear all messages from the current conversation,4) <english sentence> (if you can find more)
382,382,परिवर्तन को छोड़ें (_D),_Discard Changes,<select the most relevant English sentence>
383,383,ईमेल पता टाइप करें या निम्न सूची में संपर्क लाएँ (_T):,_Type an email address or drag a contact into the list below:,<select the most relevant English sentence>
384,384,एल्लिप्साइज,Ellipsize,1
385,385,"जब उसे हमारी आयतें सुनाई जाती हैं तो वह स्वयं को बड़ा समझता हुआ पीठ फेरकर चल देता है, मानो उसने उन्हें सुना ही नहीं, मानो उसके काम बहरे है। अच्छा तो उसे एक दुखद यातना की शुभ सूचना दे दो","And when our verses are recited to him, he turns away arrogantly as if he had not heard them, as if there was in his ears deafness. So give him tidings of a painful punishment.",Optional: <select the most relevant English sentence>  (if there is an optional sentence)
