src,true_meaning,literal_translation
油腔滑调,Tongue in cheek,Oil chamber slip
河清难俟,The time would be too long,Heqing is difficult
河清海晏,A peaceful era,Ha Ching Haiyan
沽名钓誉,Court (or seek) publicity,Fishing for fame
治病救人,Cure the sickness to save the patient,Healing and saving lives
治国安民,Run the country well and give the people peace and security,Order the country and the people
沿波讨源,Make a thorough investigation of a thing,Source along the wave
沿门托钵,Beg from house to house with a bowl in hand,Alms along the door
泥菩萨过河，自身难保,Hardly able to save oneself (let alone anyone else),"The mud bodhisattva crosses the river, and it is difficult for him to protect himself"
泥牛入海,Gone forever,Cow into the sea
泥塑木雕,As wooden as a dummy,Clay wood carving
泰山压卵,"When the extremely powerful crush the extremely weak, the",Tarzan egg pressing
泰然处之,Not bat an eyelid,Take it with equanimity
泰阿倒持,Surrender one's power to another at one's own peril,Tea holds back
洋为中用,Make foreign things serve China,Foreign to Chinese
洞察一切,Have a keen insight into matters,Insight into everything
洞若观火,Clear like looking at fire,Cave like watching fire
流水不腐，户枢不蠹,Running water is never stale and a door-hinge never gets worm-eaten,"The running water does not rot, andthe pivot of the house does not stink"
浮云朝露,Passing (or floating) clouds and morning dew,Floating Clouds Morning Dew
海底捞月,Strive for the impossible or illusory,Sea fishing moon
海阔天空,Talk at random (or without reference to reality),The sky is wide
泾渭不分,Make no such distinction between good and evil (or black and white),Jingwei does not distinguish
凄风苦雨,Wretched circumstances,Miserable wind and rain
淡然处之,Give somebody the cold shoulder,Take it lightly
深明大义,Be deeply conscious of the righteousness of a cause,Profound sense of justice
深沟高垒,Strong defence,Deep groove high base
深山老林,"Remote, thickly forested mountains",Deep mountain forest
深入浅出,Explain the profound in simple terms,Explain in simple language
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people
深文周纳,Frame and punish severely,Shen Wen Zhou Na
混世魔王,Devil incarnate,Demon King of Chaos
混淆黑白,Confuse (or juggle) black and white,Confuse black and white
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong
混为一谈,Confuse something with something else,Mix it up
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it
添枝加叶,Embellish a story,Add branches and leaves
添砖加瓦,Do one's little bit,Add bricks and mortar
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar
涣然冰释,Melt (or cleared) away,Huan Ran Freeze
游刃有余,Be move than equal to a task,Do it with ease
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters
浑然一体,An integral whole,All in one
温故而知新,Reviewing the past helps one to understand the present,Learn from the past
沧海横流,The changes and disorders of the times,Across the sea
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty
滴水成冰,Freezing cold,Dripping into ice
满招损，谦受益,One loses by pride and gains by modesty,"Full of losses, modest benefits"
满城风雨,Become the talk of the town,Wind and rain all over the city
泼妇骂街,Like a shrew shouting abuse in the street,Vixen scolding the street
滥竽充数,Just to fill up a vacancy,Excessive use of data
火上加油,Add fuel to the flames (or fire),Pour oil on the flame
火树银花,A display of fireworks and a sea of lanterns (on a festival night),Fire tree silver flower
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,Mr. Wu You
烈火见真金,True blue will never stain,Fire sees real gold
烘云托月,Art of using contrasting effects,Baking Clouds to the Moon
无米之炊,Make bricks without straw,Cooking without rice
无风不起浪,Theres no smoke without fire,"No wind, no wave"
无风起浪,Make trouble out of nothing,No wind and waves
无敌于天下,Unmatched anywhere in the world,Invincible in the world
无功受禄,Get a reward without deserving it,Reward without merit
无计可施,Utterly without resources,Nothing can be done
无济于事,Useless,To no avail
无事不登三宝殿,"Would not go to somebody's place except on business, for help, etc",Bother you for something
无事生非,Create problems where none exists,Much Ado About Nothing
无所适从,With no definite plan to follow,At a loss
无恶不作,Commit all manner of crimes,Do no evil
无以复加,In the extreme,Can't be added
无源之水，无本之木,Watery without a source and a tree without roots,"Water without source, wood without root"
无缘无故,For no reason at all,For no reason
无庸赘述,It's unnecessary to go into details,Needless to say
烟消云散,Disappear in a flash,Disappear into smoke
煮鹤焚琴,Inappreciative of art or beauty,Boil the Crane and Burn the Qin
照猫画虎,Imitate,Draw cats and tigers
茕茕孑立，形影相吊,"Standing all alone, body and shadow comforting each other","Standing alone, hanging from each other"
煽风点火,Instigate,Fan the flames
熟视无睹,Ignore,Turn a blind eye
燕巢幕上,Precarious,Swallow's Nest on the Curtain
争权夺利,Scramble for power and profit,Scramble for power
争长论短,Squabble,Debating long and short
为民请命,Plead in the name of the people,Pray for the people
为非作歹,Break the law,To do evil
为富不仁,Be rich and cruel,For the rich
为虎傅翼,Assist an evil-doer,Fu Yi for the tiger
为虎作伥,Help a villain do evil,Play for the tiger
为丛驱雀,Drive one's friends to the side of the enemy,Drive the sparrows
为所欲为,Have (or get) one's own way,Do whatever you want
为渊驱鱼,Drive one's friends to the side of the enemy,Drive fish for the abyss
墙倒众人推,Everybody bits a man who is down,The wall is pushed down
片甲不留,The army is completely wiped out,No armor left
片瓦无存,Be razed to the ground,No tiles left
牛头不对马嘴,Incongruous,The bull's head is not the horse's mouth
牛鬼蛇神,Monsters and demons of all descriptions,Bull ghosts and snakes
牵一发而动全身,A slight move in one part may affect the situation as a whole,Pull one hair and move the whole body
狗急跳墙,(of evils) will take desperate measures if pushed to the wall,Dog jumping off the wall
狗血喷头,Let loose a stream of abuse (against somebody),Dog blood sprinkler
狐假虎威,Take advantage of the influence of others,Fox fake tiger power
狐群狗党,A gang of scoundrels,Fox and Dog Party
狡兔三窟,A crafty person has more than one hideout,Three Caves of Crafty Rabbit
狭路相逢,(of adversaries) meet face to face on a narrow path,Meet by narrow road
独霸一方,Be a local despot,Dominate one side
独木不成林,Unable to do (or it cannot be done) single-handed,A single tree does not make a forest
独夫民贼,Autocrat and traitor to the people,Single husband and thief
独占鳌头,Head the list of successful candidates,Come out on top
率由旧章,Follow the beaten track,Rate by old chapter
玉不琢，不成器,Jade requires chiseling - as man needs training and discipline,"Jade is not cut, not a device"
玩火自焚,Whoever plays with fire gets burnt,Play with fire
珠圆玉润,Excellent singing or polished writing,Pearl Round Yurun
班门弄斧,Show off in the presence of an old hand,Ban door axe
瑕不掩瑜,The defects cannot obscure the virtues,Flaws do not hide beauty
瑕瑜互见,Have both strong and weak points,Xia Yu meet each other
瑞雪兆丰年,Winter snow signifies a year of good crops,Ruixue Mega Year
璞玉浑金,Unadorned beauty,Raw jade and gold
瓜田李下,Be found in a suspicious position,Melon Field Lixia
瓦釜雷鸣,An unworthy man in a high position,Wah Kettle Thunder
瓮中之鳖,(like) a rat in a hole,Turtle in a urn
瓮中捉鳖,A sure catch,Catching turtle in urn
甘拜下风,Willingly acknowledge defeat,Gan Bai downwind
甘之如饴,Gladly endure hardships,Sweet as candy
甚嚣尘上,Making a lot of noise,All over the place
生米煮成熟饭,What's done can't be undone,Uncooked rice cooked rice
生于忧患，死于安乐,"Life springs from sorrow and calamity, death comes from ease and pleasure","Born in trouble, die in peace"
用兵如神,Be a superb military commander,Use soldiers like gods
男盗女娼,Behave like thieves and whores,Male thief female prostitute
留得青山在，不怕没柴烧,While there is life there is hope,"Where there is life, there is hope"
毕其功于一役,Accomplish the whole task at one stroke,Completed in one battle
画饼充饥,Feed on illusions,Painting cake to satisfy hunger
画虎类狗,Attempting more than one has ability for,Drawing tiger dog
当机立断,Decide on the moment (or on the spot),Make a prompt decision
当局者迷，旁观者清,Those closely involved cannot see as clearly as those outside,"Father, like son"
当场出丑,Make a spectacle of oneself,Embarrassed on the spot
当仁不让,Not decline to shoulder a responsibility,Do your part
当耳边风,Turn a deaf ear to,When the wind blows
叠床架屋,Pile one bed upon another or build one house on top of another,Stacked bed frame house
疾风知劲草,Adversity is the best testing ground for moral stamina,The wind knows the strong grass
疾恶如仇,Abhor (or hate) evils or evildoers as if they were personal enemies,Evil like hatred
病急乱投医,Try anything when in a desperate situation,Emergency medical treatment
病从口入,Illness finds its way in by the mouth,Disease from the mouth
癞蛤蟆想吃天鹅肉,Aspiring after something one is not worthy of,Toad wants to eat
登峰造极,Reach the summit,Reach the pinnacle
登堂入室,Pass through the hall into the inner chamber,Entering the room
发愤忘食,Immersed in hard work (or study) one forgets to eat,Get angry and forget to eat
白璧微瑕,A slight blemish (in man's good character),Slightly flawed white jade
白头偕老,Remain a devoted couple to the end of their lives,Grow old together
白日见鬼,"See demons in broad daylight - of a strange, absurd, impossible thing",Hell by day
百步穿杨,Shoot with great precision (or with pin-point accuracy),Shoot with great precision
百废俱兴,Full-scale reconstruction is under way,Everything is booming
百读不厌,Be worth reading a hundred times,Never tire of reading
百端待举,A thousand things wait to be done,Waiting for everything
百年好合,A harmonious union lasting a hundred years,Hundred Years of Harmony
百炼成钢,Be toughened and hardened into steel,Tempered into a steel
百孔千疮,In a disastrous state,Riddled with gaping wounds
百花齐放，百家争鸣,Let a hundred flowers blossom and a hundred schools of thought contend,"A hundred flowers bloom, a hundred schools of thought contend"
百战百胜,Invincible,Win every battle
百川归海,All things tend in one direction,A hundred rivers return to the sea
百足之虫，死而不僵,Old institutions die hard,"A hundred-footed worm, dead but not stiff"
百闻不如一见,Seeing is believing,Seeing is better than hearing
皆大欢喜,Everybody is happy,Everyone is happy
皮笑肉不笑,Put on a false smile,Skin laughing meat not laughing
皮之不存，毛将焉附,A thing cannot exist without its basis,"If the skin does not exist, the hair will be attached"
盛名难副,It is hard to live up to a great reputation,Famous is hard to match
盛情难却,Be ungracious not to accept somebody's invitation,Kindness but hardship
尽力而为,Do one's best,Do your best
尽心竭力,(do something) with all one's heart,Do my best
尽人事，听天命,Do one's level best and leave the rest to God's will,"Do your best, listen to destiny"
目不转睛,Look with fixed eyes,Keep an eye on
目光如炬,Farsighted,Eyes like torches
盲人摸象,One-sided view,Blind man touching elephant
盲人瞎马,Rushing headlong to an immediate danger,Blind man blind horse
直抒己见,Talk (or speak out) directly and simply,Express one's opinion
相辅相成,Supplement each other,Complement each other
相得益彰,Bring out the best in each other,Complement each other
相提并论,Put something (or somebody) on a par with,On a par
相敬如宾,"(of couple) treat each other with respect (""like guests"")",Treat each other with respect
相知有素,Have known each other long,Know each other well
相安无事,Live in peace with each other,Everything is fine
相依为命,Shore one's life together,Depend on each other
相沿成习,Become a custom through long usage,Learn from each other
相映成趣,Set each other off,Comparing with each other
眉头一皱，计上心来,Knit the brows and a stratagem comes to mind,"Brows furrowed, thinking about it"
看菜吃饭，量体裁衣,Adapt oneself to circumstances,"See the dishes and eat, tailor the clothes"
真金不怕火,An honest person does not fear the light,Real gold is not afraid of fire
真相大白,The whole truth has come out,The truth is revealed
眼高手低,Have high ambition but no real ability,Eyes are high and hands are low
睚眦必报,Seek revenge for the smallest grievance,Jairus must be reported
睹物思人,The thing reminds one of its owner,See things and think people
瞎子摸鱼,Act blindly,Blind man fishing
瞎子点灯白费蜡,Absolutely useless,The blind man lights the lamp in vain
瞎子见钱眼睛开,"On seeing money, even a blind man would have his eyes wide open",The blind man sees money and his eyes open
瞒天过海,Practice deception,Cross the sea
知己知彼，百战百胜,To know one's own strength and the enemy's is the sure way to victory,"Know thyself, ever-victorious"
知法犯法,Knowingly violate the low,Know the law and break the law
知难而进,Press forward in the face of difficulties,Advancing in spite of difficulties
知过必改,Know one's faults and correct them,Knowing must change
知其一，不知其二,Have only a one-sided view,"I know one, don't know the other"
知无不言，言无不尽,Speak unreservedly,"Know everything, speak everything"
短兵相接,Engage in hand-to-hand fight (or in close combat),Hand in hand
石沉大海,It disappears forever (or it has produced no reaction),Sinking into the sea
破釜沉舟,Cut off all means of retreat,Burn one's boats
破涕为笑,(one's) tears melt into smiles (of face),Burst into laughter
破旧立新,Destroy the old and establish the new,Break the old and build the new
硕果仅存,One of the few still lest,Only fruit remains
磨杵成针,Perseverance will prevail,Grind the pestle into a needle
碍手碍脚,Be a hindrance,Get in the way
神不知，鬼不觉,In great secrecy,"God does not know, ghost does not know"
神采奕奕,Glowing with health and radiating vigor,In high spirits
神色自若,Be perfectly calm and collected,Look at ease
祸不单行,It never rains but it pours,Misfortunes never come singly
祸国殃民,Bring disaster (or calamity) to the country and the people,Harm the country and the people
福无双至,Blessings never come in pairs,Fu Wushuang arrives
秀而不实,Flowering but producing no fruit,Show but not truth
私相授受,Make an illicit transfer,Give and receive privately
秋风扫落叶,Wipe out the corrupt and the evil easily,Autumn wind sweeps leaves
秋毫无犯,(of highly disciplined troops) not commit the slightest offence against the civilians,Autumn is innocent
种瓜得瓜，种豆得豆,"As you sow, so will you reap",You get what you sow
称孤道寡,Act like an absolute ruler,Act like an absolute monarch
称兄道弟,Be on intimate terms,Call each other brothers
称王称霸,Act like an overlord,Lord it over
积年累月,For months and years,Over the years
积谷防饥,Accumulate grains against famine,Accumulate grain to prevent hunger
积重难返,Old habits are difficult to get rid of,Hard to return
积羽沉舟,The awesome power of sheer numbers,Accumulate feathers sink the boat
稳操胜券,Have full assurance of success,Be sure to win
空中楼阁,Daydream,Castle in the sky
穿针引线,Act as a go-between,Thread the needle
突飞猛进,Make a spurt of progress,Advance by leaps and bounds
穷兵黩武,Adopt a warlike policy,Go to war
穷途末路,Dead end,No way no money
穷山恶水,Barren mountains and unruly rivers,Poor mountains and bad waters
穷则思变,Poverty gives rise to a desire for change,Being poor is changing
窥测方向，以求一逞,Spy out the land in order to accomplish one's schemes,"Peep the direction, in order to succeed"
立锥之地,A tiny bit of land,The land of the cone
立身处世,How to get along with people,Live in the world
立足之地,Standing-room,Gain a foothold
竭尽全力,To the best of one's ability,Make every effort
端倪可察,Have found a due to something,Clues can be seen
笑里藏刀,An iron hand in a velvet glove,Hidden knife in laughter
笨鸟先飞,The need to start early (used as a modest expression of one's need for caution),Stupid bird fly first
管中窥豹，可见一斑,Conjure the whole thing through seeing a part of it,"Peeping the leopard in the tube, it can be seen"
箭在弦上,A point of no return,Arrow on the string
筚路蓝缕,The pioneering spirit,Bilu blue thread
箪食壶浆,Welcome (an army) with food and drink,Tanshi pot pulp
米珠薪桂,Exorbitantly high cost of living,Mi Zhu Xin Gui
粗枝大叶,In a slipshod manner,Thick branches and large leaves
粥少僧多,Not enough to go around,"Less porridge, more monks"
精兵简政,Streamlined administration,Efficient and streamlined administration
约法三章,Make a few simple rules to be observed by all concerned,Three chapters of the covenant
纷至沓来,Come in a continuous stream,One after another
绝处逢生,Escape by the skin of one's teeth,Life in desperation
绞尽脑汁,Rack one's brains,Racking my brains
络绎不绝,Unending,An endless stream
经年累月,For years,Over the years
绿林好汉,A band of bandits entrenched in a mountain stronghold,Green forest hero
绰绰有余,More than sufficient,More than enough
绵里藏针,A ruthless character behind a gentle appearance,Tibetan needles in cotton
紧锣密鼓,Wildly beating gongs and drums,In full swing
缘木求鱼,A useless search,Edge wood for fish
缓不济急,Slow action cannot save a critical situation,In no hurry
缩头缩脑,Shrink from responsibility,Shrink your head
总而言之,To make a long story short,All in all
总角之交,Childhood friend,Turn of the total angle
绘声绘影,Vivid description,Picture sound and picture
罄竹难书,(of a man's sins) too numerous to record,Too many books to read
罪该万死,Hideous crime deserving the harshest punishment,Sin deserves death
罪责难逃,Cannot get away with it,Guilt is inevitable
置之脑后,Put out of mind,Leave it behind
置身事外,Stay (keep or remain) aloof from the affair,Stay out of the way
美中不足,A blemish in an otherwise perfect thing,A fly in the ointment
群龙无首,A group without a leader,Dragons without a leader
群起而攻之,Rally together to attack,Group to attack
习惯成自然,Habit (or custom) is a second nature,Habit is second nature
翻山越岭,Travel (or tramp) over hill and dale,Over the mountains
老马识途,(of experienced people) know the ropes,The old horse knows the way
老骥伏枥，志在千里,Old people may still cherish high aspirations,"Old Ji Fuzheng, aspiring to a thousand miles"
耳食之谈,Accept readily without comprehending what is heard,Talking about ear food
耳闻不如目见,Seeing for oneself is better than hearing from others,Hearing is worse than seeing
聊胜于无,Half a loaf is better than no bread,Better than nothing
聊以自慰,Just to console oneself,Chat to masturbate
聊以卒岁,Just to tide over the year,Talk about death
聚沙成塔,Many a little makes a mickle,Gather sand into a tower
闻风而起,Go into action without delay,Up in the wind
闻名不如见面,Know a man by repute is not as good as meeting him face to face,Better to be famous than to meet
闻过则喜,Be glad to have one's errors pointed out,Happy to hear it
闻一知十,Infer the whole matter after hearing but one point,Hear one know ten
聪明反被聪明误,Cleverness may overreach itself,Smart is mistaken by smart
聪明一世，糊涂一时,"Smart as a rule, but this time a fool","Smart for a lifetime, confused for a while"
声东击西,Make a feint,Sound east and west
耸入云霄,Rise above the clouds,Soaring into the sky
听其自然,Leave (things) to chance,Let it be
听其言而观其行,Judge people by their deeds not just by their words,Listen to what he says and watch what he does
听之任之,Let one have one's own way,Leave it alone
肺腑之言,Words from the bottom of one's heart,Words from the Heart
背道而驰,Run counter to,Run in the opposite direction
背城借一,Put up a desperate struggle,Borrow one from behind the city
胡思乱想,Let one's imagination run away with him,Have a bee in one's bonnet
胸中有数,Have a good idea of how things stand,Number in chest
胸中无数,Have no idea of how things stand,Countless in the chest
能上能下,Be ready to work both at the top or at the grass roots,Can go up and down
能文能武,Capable of handling both military and civilian affairs,Capable of writing and martial arts
脚踏两只船,Have a foot in either camp,Pedal two boats
脚踏实地,Earnest and down-to-earth,Down to earth
脑满肠肥,Heavy-jowled and potbellied - the idle rich,Brain full of fat
腹背受敌,Be attacked from all sides,Enemy on the back
膏粱子弟,Good-for-nothing sons of the idle rich,Gao Liang's disciples
胆战心惊,Strike terror into the heart of,Tremble with fear
临渴掘井,Do a thing at the 11th hour,Digging a well when thirsty
临阵磨枪,Start to prepare only at the last moment,Sharpening the gun
临危不惧,Remain calm in the face of a crisis,Don't be afraid of danger
临渊羡鱼，不如归而结网,One should take practical steps to achieve one's aims,"Linyuan is envious of fish, it is better to go home and make a net"
自讨苦吃,Do something which will only cause trouble to oneself,Asking for trouble
自掘坟墓,Bring ruin upon oneself,Digging one's own grave
自取其咎,Have only oneself to blame,Blame it on yourself
自行其是,Go one's own way,On its own
自寻烦恼,Bring vexation on oneself,Asking for trouble
自食其果,Face the consequences of one's action,Eat your own fruit
自食其言,Break one's own promise,Eat your own words
自作聪明,Think oneself clever,Make yourself smart
自言自语,Keep on chattering though to one is listening,Talking to oneself
自我吹嘘,Boast smugly,Brag about oneself
至死不变,Constant till death,Unchanging till death
与虎谋皮,Ask a tiger for its hide,Scheming with tigers
与日俱增,Be steadily on the increase,Increasing day by day
与人为善,Do good for people,Be kind to people
兴师问罪,Send a punitive expedition against,Xingshi to ask guilt
举不胜举,Too numerous to mention,Too many to mention
举国上下,The whole nation,The whole country
举一反三,Infer other things from one fact,Learn by analogy
旧地重游,Revisit a once familiar place,Revisiting old places
旧恨新仇,New hatred piled on old,Old hatred new hatred
舌敝唇焦,"Wear oneself out in pleading, expostulating, etc",Tongue and lip burn
舞文弄墨,Indulge in fancy writing,Dance with ink
良药苦口,Good medicine tastes bitter,Good medicine is bitter
良药苦口利于病，忠言逆耳利于行,"Just as bitter medicine cures sickness, so unpalatable advice benefits conduct","Good medicine tastes bitter, unpalatable advice help line"
艰难曲折,Arduous and tortuous,Difficult twists and turns
色厉内荏,Be tough-looking outside but really timid within,Color Li Nei
芒刺在背,Feel nervous and uneasy,Thorn on the back
花天酒地,Indulge in gay life and debauchery,Spend the day
若要人不知，除非己莫为,The only way to keep people from knowing something is not to do it,"If you don't know, you have to do it yourself"
若有所失,Feel lost,If something is lost
若无其事,Calmly,If nothing happened
苦海无边，回头是岸,Escape from the human world of woes and find salvation,"The sea of suffering is boundless, turning back is the shore"
英雄所见略同,Great minds think alike,Heroes see the same
英雄无用武之地,No scope for one's energies,Heroes are useless
茁壮成长,Grow up healthy and strong,Growing up healthily
苟延残喘,Eke out a meagre life,On one's last legs
茹毛饮血,Live the life of a primitive man,Ru Mao drinks blood
草木皆兵,Be afraid of one's own shadow,All grass and trees
萍水相逢,"Casual, temporary meeting",Meet by chance
荆棘载途,A path beset with difficulties,Thorns on the road
万般皆下品，惟有读书高,"All occupations are ranked low, only book-learning is exalted","Everything is inferior, only reading is high"
万籁俱寂,All sounds are hushed (or still),Everything is silent
万里长征,A long march of ten thousand li,The Long March
万事大吉,Everything goes off without a hitch,All is well
万事亨通,Everything goes well,Everything is prosperous
万事俱备，只欠东风,All is ready except what is crucial,All is ready except for the opportunity
万寿无疆,(wish somebody) a long life,Longevity without borders
万水千山,Ten thousand crags and torrents,Thousands of Waters and Thousands of Mountains
落花有意，流水无情,Unrequited love,"Falling flowers are intentional, flowing water is ruthless"
落井下石,Strike (or hit) a person when he is down,Fall into the hole
叶落归根,Falling leaves settle on their roots,Leaves fall back to their roots
叶公好龙,Professed love of what one really fears,Ye Gong Hao Long
萧规曹随,Follow established rules,Xiao Gui Cao Sui
藏头露尾,Speak evasively (or equivocally),Hide one's head and show one's tail
藏龙卧虎,Hidden dragons and crouching tigers,Hidden Dragon Crouching Tiger
药石之言,Unpleasant but needed advice,Words of medicine stone
虎背熊腰,Stalwart men,Tiger's back and bear's waist
虎口余生,A narrow escape from death,The rest of the life
虚己以听,Listen patiently,Humility to listen
蚍蜉撼树,Ridiculously overrating one's own strength,Mayfly shake the tree
蛟龙得水,A hero gets an opportunity for showing his prowess,Jiaolong gets water
蜀犬吠日,An ignorant person makes a fuss about something which he alone finds strange,Shu dog bark day
虾兵蟹将,Ineffective troops,Shrimp soldier and crab general
蚂蚁啃骨头,Plod away at a big job bit by bit,Ant chews on bone
螳螂捕蝉，黄雀在后,"The mantis stalks the cicada, unaware of the oriole behind","The mantis catches the cicada, the orioleis behind"
蝇营狗苟,Shamelessly seek personal gain,Fly camp dog gou
蠢蠢欲动,Ready (about) to make trouble,Just around the corner
蚕食鲸吞,Seize another country's territory by piecemeal encroachment or wholesale annexation,Swallow like a whale
血气方刚,In the prime of youth,Bloody Fang Gang
众目睽睽,In the public eye,In full view
众口难调,It is difficult to please everyone,Difficult to reach
众口铄金,Public opinion will fuse metals,All mouths of gold
众擎易举,Many hands make light work,Easy to do
众说纷纭，莫衷一是,"As opinions vary, no unanimous conclusion can be drawn","Different opinions, no consensus"
众人拾柴火焰高,Great things may be done by mass effort,The more the merrier
行百里者半九十,One must sustain one's effort when a task is nearing completion,Barry is only half of 90
行同狗彘,Make a beast of oneself,Go with the dog
行成于思,Success depends on forethought,Act by thinking
行若无事,Behave as if nothing had happened,Act like nothing
行远自迩,Step by step,Travel far away
冲锋陷阵,Charge forward,Charge into battle
衣架饭囊,Useless lazy persons,Hanger rice bag
表里如一,Sincere,Same on the outside
袖手旁观,Stand by and do nothing,Stand idly by
被褐怀玉,Not show off one's talent,By brown jade
装疯卖傻,Pretend ignorance,Pretending to be crazy
装聋作哑,Pretend to be ignorant of something,Pretend to be deaf
覆巢之下无完卵,All involved,No eggs under the nest
见风转舵,See how the wind blows,See the wind
见缝插针,Make use of every bit of time or space,See the seam
见利忘义,Forget all moral principles at the sight of profits,Forget about profit
见猎心喜,Thrill to see one's favorite sport and itch to have a go,See the heart of the hunter
见机行事,Do as one sees fit,Act by chance
见异思迁,Desire to change one's work the moment one sees something different,See different thoughts
视同路人,Regard as a stranger,Treat as a passerby
视同儿戏,Treat (a serious matter) as a trifle,Treat it like a child's play
视如寇仇,Regard (or look upon) somebody as one's enemy,Regarded as a hatred
视死如归,Look death calmly in the face,Look at death
视而不见，听而不闻,"Look at but not pay attention to, listen to but hear nothing","Turn a blind eye, hear without hearing"
视为知己,Regard as a good friend,Regarded as a confidant
视为畏途,Keep away from something,Regarded as a dreadful way
解放思想,Free oneself from old ideas,Emancipate the mind
解囊相助,Help somebody generously with money,Unpacking to help
解铃系铃,Whoever started the trouble should end it,Unwind the bell
解甲归田,Retire from service,Disarming and returning to the field
触类旁通,Reason (or comprehend) by analogy,Comprehend by analogy
言必信，行必果,Always be true in word and resolute in deed,Promises must be kept and action must be resolute
言必有中,Whenever one says something one hits the nail on the head,Words must be right
言归正传,Get (or come) to business,Closer to home
言行不一,One's actions are not in keeping with one's promises,Inconsistent words and deeds
言行一致,Practise what one preaches,Consistent with words and deeds
言之无物,(of speech or writing) be devoid of substance,Nothing to say
言出法随,Enforce the regulations to the letter,Follow the law
言传身教,Teach by personal example as well as verbal instruction,Teaching by precept and example
言犹在耳,The words are still ringing (or reverberating) in one's ears,The words are still in my ears
言为心声,One's words reflect one's thinking,Speak for the heart
记忆犹新,Remain fresh in one's memory (or mind),Fresh in memory
设身处地,Put oneself in somebody else's position,Put yourself in
评头品足,Find fault with,Comment on the head and the foot
话不投机半句多,"When the conversation gets disagreeable, to say one word more is a waste of breath",Don't talk more than half a sentence
认贼作父,Treat a thief as one's father,Recognize a thief as a father
誓不甘休,Swear not to stop (or rest),Unwilling to rest
誓死不二,Swear to be loyal forever,Swear to death
诱敌深入,Lure the enemy troops in deep,Lure the enemy deep
说到做到,Live up to one's word,Do as promised
说曹操，曹操就到,Talk of the devil and he will appear,"Say Cao Cao, Cao Cao will come"
谈虎色变,Turn pate at the mere mention of something terrible,Talk about a tiger's discoloration
请君入瓮,Kindly step into the vat - try what you have devised against others,Please enter the urn
论功行赏,Award people according to their contributions,On meritorious deeds
讳莫如深,Not utter a single word about something,Keep a secret
诸如此类,Things like that (or this),And so on
谑而不虐,Tease without embarrassing,Sarcastic but not cruel
识时务者为俊杰,A brave man knows how to bow to circumstances,The person who knows the times is Junjie
豁然贯通,Suddenly see the whole thing in a clear sight,All of a sudden
豁然开朗,Suddenly cleared up,Suddenly see the light
豹死留皮,A leopard's skin survives its body,Leopard dead skin
豺狼当道,Evil person in power,Jackal in power
猫哭耗子,Shed crocodile tears,Cat crying mouse
负重致远,(of a person) be able to shoulder important tasks,Carrying weight goes far
贫无立锥之地,Utterly destitute,A land of poverty
贪小失大,Covet a little and lose a lot,Greedy for the small
贪生怕死,Clinging to life instead of braving death,Greedy for life
费尽心机,Painstakingly,Go to great lengths
贼喊捉贼,The devil rebuking a sin,Thief shouting catch thief
贼去关门,Lock the door after the thief has gone,Thief to close the door
宾至如归,A home from home,Feel at home
赏罚分明,Be strict and fair in meting out rewards and punishments,Clear rewards and punishments
赏心悦目,Find the scenery pleasing both to the eye and the mind,Pleasing to the eye
赔了夫人又折兵,Throw the helve after the hatchet,Lost my wife and lost my army
卖剑买牛,Beat swords into ploughshares,Sell swords and buy cattle
质疑问难,Raise doubts and difficult questions for discussion,Difficult to question
走马观花,Take a brief look at,Watching flowers on a horseback
赴汤蹈火,Go through hell,Go through fire and water
起死回生,Snatch a patient from the jaws of death,Come back to life
越俎代庖,Take another's job into one's own hands,Over and over again
跳梁小丑,Contemptible rebel,Jumping beam clown
蹈常袭故,Follow mere routine,Repeat the same
跃跃欲试,Itch to have a go,Eager to try
身价百倍,Skyrocket to fame,Worth a hundred times
身教胜于言教,Practice (or example) is better than precept,Teaching by example is better than teaching
身先士卒,Lead one's men in a charge,Lead the way
身在福中不知福,Not appreciate the happy life one enjoys,"In the midst of happiness, don't know happiness"
车到山前必有路,Things will eventually sort themselves out,There must be a road before the car reaches the mountain
软硬皆施,Use both persuasion and force (or coercion),Both soft and hard
轻歌曼舞,Sing merrily and dance grace fully,Light songman dance
轻重倒置,Put the trivial above the important,Inversion of light and heavy
轻于鸿毛,Lighter than a (goose) feather - a death which is of no significance at all,Lighter than a feather
转祸为福,Turn a calamity into a blessing,Turn a misfortune into a blessing
转危为安,Pull through,Turn the corner
转弯抹角,Beat about the bush,Beating around the bush
近水楼台先得月,Enjoy the benefits of a favorable position,"Near the water floor, first-served month"
迫不得已,Be forced (driven or compelled) to,As a last resort
送旧迎新,Ring out the Old Year and ring in the New,Send the old and welcome the new
送往迎来,See off those who depart and welcome those who arrive,Send to welcome
逆水行舟,Row against the flood,Sailing against the current
逍遥法外,Go scot-free,Get away with it
通权达变,Adaptable to changing circumstances,Pass the right to change
