src,true_meaning,literal_translation
"अंधे का नाम सुना, चेहरा नहीं देखा",heard about but never met,"heard the name, did not see the face"
"अंधा क्या देखे, दो आँखें",one always desires what they lack,what can a blind see—(he needs) two eyes
अंधा गुस्सा करना,to get blindly angry,to do blind anger
अंधेरे में डूब जाना,to fall into ignorance or despair,to sink into darkness
अंधे के भाग्य में छेद,to have perpetual bad luck,a hole in the blind man’s fate
अंधे का भाग्य जागना,to get lucky suddenly,the blind man’s fortune awakens
अंधेरे में भटकना,to wander without direction,to wander in darkness
अंधा प्रेम अंधा परिणाम,blind love leads to trouble,"blind love, blind result"
अंधेरे में रहकर उजाला ढूँढना,to struggle for wisdom amidst ignorance,to seek light while staying in darkness
अंधे के हाथ दीपक लगना,to get help at the right time,a lamp attaching to a blind man’s hand
अंधा भी रास्ता पहचान गया,even the unaware understood,even the blind recognized the way
अंधेरे से डरना,to fear ignorance or truth,to fear darkness
अंधे को सीधा रास्ता दिखाना,to guide righteously,to show the straight path to a blind person
अंधेरे में दीप जलाना,to bring hope in darkness,to light a lamp in the dark
अंधेरे में ताकना,to look aimlessly,to gaze into the dark
अंधे को नजर आना,to gain realization unexpectedly,to become visible to a blind person
अंधे का रास्ता रोकना,to block someone’s progress unjustly,to block the blind man’s path
अंधेरे में खोज करना,to explore with uncertainty,to search in the dark
अंधे की चड्डी चुराना,to mock the helpless,to steal a blind man’s underpants
अंधे को दर्पण देना,to give something useless to someone incapable,to give a mirror to a blind person
अंधेरे का फायदा उठाना,to exploit ignorance,to take advantage of darkness
अंधेरे में झांकना,to peep into the unknown,to peep into the dark
अंधेरे से बाहर आना,to come out of ignorance,to come out of darkness
अंधा राजा राज्य चलाना,incompetent leadership,a blind king running the kingdom
अंधे की झोपड़ी में रोशनी,to find hope where none was expected,light in the blind man’s hut
अंधा काँटा निकालना,to help at personal risk,to remove a thorn blindly
अंधा कानून चलाना,to enforce law without logic,to run/apply blind law
अंधे को अंधेरे में छोड़ना,to abandon someone helpless,to leave the blind in darkness
अंधेरे में रहना नहीं चाहिए,one should not stay ignorant,one should not stay in darkness
अंधे को दिशा देनी चाहिए,to help the clueless find their way,one should give direction to a blind person
अंधेरे से डरना नहीं चाहिए,one should not fear truth,one should not fear darkness
अंधेरे में दीप जलाना अच्छा है,to bring light even when alone,it is good to light a lamp in the dark
धरती पर पैर रखना,to stay humble despite success,to place feet on the earth
आसमान से गिरना,to lose everything suddenly,to fall from the sky
हवा में उड़ना,to daydream or be overconfident,to fly in the air
पानी में रहकर मगर से बैर,to pick fights with powerful people,"living in water, enmity with the crocodile"
खुशियों के झूले झूलना,to live in joy,to swing on swings of happiness
रंगीन मिज़ाज होना,to be flirtatious or fun-loving,to have a colorful temperament
दिल से खेलना,to toy with someone’s feelings,to play with the heart
दिल का मामला,a romantic issue,matter of the heart
दिल बड़ा रखना,to be generous or forgiving,to keep the heart big
दिल छोटा मत करो,don’t lose hope,don’t make the heart small
दिल लगाना और तोड़ना,to fall in and out of love,to attach the heart and break it
दिल का बोझ हल्का करना,to share feelings and feel relieved,to lighten the heart’s burden
दिल से दिल का रिश्ता,a close emotional connection,heart-to-heart relationship
दिल में आग लगाना,to provoke jealousy or passion,to set fire in the heart
दिल देना और लेना,to love and reciprocate,to give and take the heart
दिल पर राज करना,to rule someone’s heart,to rule over the heart
दिल पर बोझ होना,to feel guilt or heaviness,to have a burden on the heart
दिमाग में खिचड़ी पकना,to overthink randomly,khichdi cooking in the mind
दिमाग का दही बनाना,to confuse someone completely,to make the brain into curd
दिमाग खपाना,to think very hard,to expend/wear out the brain
दिमाग लगाना ज़रूरी है,to use common sense,it is necessary to apply the brain
मुँह में ज़ुबान नहीं,to be timid or silent,no tongue in the mouth
मुँह पर बोलना,to speak directly,to speak on the face
मुँह मीठा कराना,to celebrate success with sweets,to make the mouth sweet
नाक कटना,to lose honor,for the nose to be cut
नाक ऊँची करना,to make someone proud,to raise the nose high
नाक बचाना,to save face,to save the nose
नाक दबाना,to force acceptance,to press the nose
नाक चढ़ाना,to act proudly,to raise the nose
कान खड़े करना,to become alert,to make the ears stand up
कान में बात डालना,to inform secretly,to put the matter into the ear
कान में जूँ न रेंगना,to remain unaffected,not even a louse crawls in the ear
पैरों तले ज़मीन खिसकना,to be shocked or panicked,the ground slipping from under the feet
पैर उखड़ना,to lose stability,for the feet to get uprooted
हाथ बाँधकर बैठना,to stay idle or helpless,to sit with hands tied
हाथ उठाना,to hit or bless,to raise the hand
हाथ साफ़ करना,to steal cleverly,to clean the hand
हाथ में खेलना,to control completely,to play in the hand
सिर पर चढ़ना,to take advantage of leniency,to climb on the head
सिर पर सवार होना,to be obsessed or enraged,to be mounted on the head
सिर ऊँचा रखना,to uphold dignity,to keep the head high
सिर पर तूफ़ान लाना,to invite big trouble,to bring a storm upon the head
सिर फोड़ना,to fight violently,to smash/break the head
सिर पर कर्ज़ होना,to be in debt,to have debt on the head
सिर का दर्द,a troublesome person,pain of the head
सीने में जलन,to feel envy,burning in the chest
सीने पर बोझ,to feel guilt or burden,burden on the chest
सीने में हवा भरना,to instill pride or ego,to fill air into the chest
सीना ठंडा होना,to feel relieved or avenged,for the chest to become cool
सीने पर हाथ रखना,to make a heartfelt promise,to keep a hand on the chest
सीने में साँस न लेना,to be extremely scared,to not take breath in the chest
मन बनाना,to make up one’s mind,to make up the mind
मन भर जाना,to lose interest,for the mind to become full
मन खुश करना,to please someone,to make the mind happy
मन बदलना,to change opinion suddenly,to change the mind
मन लगाकर काम करना,to work sincerely,to work having set the mind
मन जीत लेना,to win hearts,to win the mind
पहला पत्ता गिरने से पहले,by autumn / before the first leaf falls,before the first leaf falls
जंजीरों में बंधा महसूस करना,to feel chained or trapped,to feel bound in chains
मेरी बुरी किस्मत,just my bad luck,my bad luck
मेरे जीते-जी,over my dead body / as long as I’m alive,while I'm alive
दुम दबाकर निकल लेना,to run away in fear (tail between legs),to slip away with tail tucked
घुटने टेक देना,to surrender / kneel in defeat,to kneel down
कौड़ियों के भाव,for a pittance / dirt cheap,at the price of cowries (shells)
हाथ गंदे करना,to get one’s hands dirty (do something unsavory),to make one's hands dirty
लाड़-प्यार करना,to pamper / spoil,to dote and pamper
हर तरफ से घेर लेना,to box in / surround on all sides,to surround from all sides
दिमाग पर छा जाना,to get stuck in one’s head,to spread over the mind
"धंधा पहले, मज़ा बाद में",business before pleasure,"business first, fun later"
आसमान छूना (भाव/कीमतें),"to be sky-high (prices, rates)",to touch the sky (prices/rates)
औरत के पल्लू में छिपना,to hide behind a woman’s pallu (show cowardice),to hide behind a woman's pallu
बच्चों को भूखा मारना,to let the kids go hungry / starve,to starve the children
