src,explanation_used,literal_used,final_translation,QE_final,QE_literal,QE_explanation,DA_final,DA_literal,DA_explanation,QE_final_gt_literal,DA_final_gt_literal
皆大欢喜,Everybody is happy,Everyone is happy,Everyone's happy.,0.16222095489501953,0.2730889916419983,0.26730430126190186,0.9052810072898865,0.9447119832038879,0.9827011227607727,0.0,0.0
百战百胜,Invincible,Win every battle,Unbeatable,-1.1253777742385864,-0.19374211132526398,-0.796147346496582,0.7319685816764832,0.6610643267631531,0.9844259023666382,0.0,1.0
百川归海,All things tend in one direction,A hundred rivers return to the sea,All rivers flow to the sea.,-0.6331681609153748,-0.669807493686676,-0.5950211882591248,0.544310450553894,0.45220956206321716,0.9705987572669983,1.0,1.0
百花齐放，百家争鸣,Let a hundred flowers blossom and a hundred schools of thought contend,"A hundred flowers bloom, a hundred schools of thought contend",Let a hundred flowers bloom and a hundred schools of thought flourish.,-0.639914870262146,-0.8351702094078064,-0.8503202795982361,0.880137026309967,0.8867450952529907,0.9604029059410095,1.0,0.0
皮之不存，毛将焉附,A thing cannot exist without its basis,"If the skin does not exist, the hair will be attached",Nothing can survive without its foundation.,-1.095044732093811,-1.342678189277649,-1.0506287813186646,0.8360593914985657,0.46649298071861267,0.9663720726966858,1.0,1.0
尽力而为,Do one's best,Do your best,Do your best.,0.35131141543388367,0.2940015494823456,0.0908154547214508,0.9034929871559143,0.9021915793418884,0.9756616950035095,1.0,1.0
皮笑肉不笑,Put on a false smile,Skin laughing meat not laughing,a forced smile,-0.9275634288787842,-1.3707796335220337,-0.9681293368339539,0.6972828507423401,0.39192959666252136,0.9771896600723267,1.0,1.0
盛情难却,Be ungracious not to accept somebody's invitation,Kindness but hardship,I can't refuse such generosity.,-0.726106584072113,-0.9655556082725525,-0.7452281713485718,0.5710157155990601,0.3779301941394806,0.9515802264213562,1.0,1.0
盛名难副,It is hard to live up to a great reputation,Famous is hard to match,It's hard to live up to a great reputation.,-0.6311169862747192,-0.861361563205719,-0.5480338931083679,0.8989778161048889,0.581142246723175,0.965214729309082,1.0,1.0
尽心竭力,(do something) with all one's heart,Do my best,I'll do my best.,0.08618393540382385,0.10346066951751709,-0.4078173339366913,0.5277370810508728,0.5254822969436646,0.9606661200523376,0.0,1.0
因地制宜,Bear in mind local needs and possibilities,Adapt to local conditions,Adapt to local conditions.,0.17615151405334473,0.2320195734500885,0.2823501229286194,0.7925305962562561,0.7949953079223633,0.978550374507904,0.0,0.0
只要功夫深，铁杵磨成针,Perseverance spells success,"As long as you try very hard, you can achieve anything","Where there's a will, there's a way.",-0.9702540636062622,-0.6605283617973328,-0.5812177062034607,0.48800548911094666,0.6089338660240173,0.9760026335716248,0.0,0.0
一叶知秋,It is a straw in the wind,One Leaf Zhiqiu,A sign of things to come.,-0.8668323159217834,-0.9452540874481201,-1.0242060422897339,0.43767690658569336,0.43380382657051086,0.9630638360977173,1.0,1.0
一寸光阴一寸金,Time is money,An inch of time is an inch of gold,Time is money.,-0.18669450283050537,-0.5036926865577698,-0.17711062729358673,0.964894711971283,0.6341066956520081,0.9879972338676453,1.0,1.0
抚今追昔,Recall the past and compare it with the present,Chasing the past,reflect on the past,-0.43167707324028015,-0.703223466873169,-0.2711612284183502,0.6926549077033997,0.5292233228683472,0.9552630186080933,1.0,1.0
请君入瓮,Kindly step into the vat - try what you have devised against others,Please enter the urn,Taste your own medicine.,-0.8501803278923035,-0.5007581114768982,-0.8488213419914246,0.44926783442497253,0.4957946836948395,0.9318409562110901,0.0,0.0
借古讽今,Use the past to disparage the present,Borrow the past to satirize the present,Use the past to criticize the present.,-0.43717873096466064,-0.4782336950302124,-0.37979206442832947,0.8828418850898743,0.8417747616767883,0.9740318059921265,1.0,1.0
借题发挥,"Seize on some pretext (or other) to distort (the features, motives, truth, etc.)",Take advantage of the topic,Use it as an excuse to push their agenda.,-0.12752920389175415,-0.34451422095298767,-0.5841880440711975,0.6011850833892822,0.534087598323822,0.9290518760681152,1.0,1.0
操之过急,Over-hastiness,Is too hasty,You're being too hasty.,-0.21300844848155975,-0.25316986441612244,-0.21208304166793823,0.711090624332428,0.7913973927497864,0.9895080924034119,1.0,0.0
只此一家，别无分店,Have a monopoly,"Only this one, no other branches",The only game in town.,-0.8345577120780945,-0.14650073647499084,-0.8498893976211548,0.4538136124610901,0.5203678011894226,0.9794365763664246,0.0,0.0
因陋就简,Make do with whatever is available,Simple because of the shabby,Make do with what's available.,-0.519969642162323,-1.088329792022705,-0.43530282378196716,0.9091963171958923,0.4814310371875763,0.9722357988357544,1.0,1.0
一望而知,Very obvious,At a glance,You can tell at a glance.,-0.6069294810295105,-0.5761011242866516,-0.7263525724411011,0.5195997953414917,0.5945860743522644,0.9900849461555481,0.0,0.0
登堂入室,Pass through the hall into the inner chamber,Entering the room,Move up to the next level.,-0.5345107913017273,-0.2545472979545593,-0.5614367127418518,0.5024908781051636,0.6699429154396057,0.9550065398216248,0.0,0.0
论功行赏,Award people according to their contributions,On meritorious deeds,Reward according to merit.,-0.8809002041816711,-1.0896574258804321,-0.8801926970481873,0.6989065408706665,0.4986326992511749,0.9688266515731812,1.0,1.0
因小失大,Try to save a little only to lose a lot,Lose big by small,"Penny-wise, pound-foolish.",-1.4234732389450073,-0.8034146428108215,-0.6825569868087769,0.33509543538093567,0.4582819640636444,0.949592649936676,0.0,0.0
只争朝夕,Race against time,Just fight for the day,Make every minute count.,-0.40856391191482544,-0.43482014536857605,-0.2518071234226227,0.5462905764579773,0.43679457902908325,0.9829301238059998,1.0,1.0
一望无际,Boundless,As far as the eye can see,As far as the eye can see,-0.48509201407432556,-0.48509201407432556,-0.8431699872016907,0.438028484582901,0.438028484582901,0.9853467345237732,0.0,0.0
讳莫如深,Not utter a single word about something,Keep a secret,Say nothing about it.,-0.45163580775260925,-0.2769927680492401,-0.7495800256729126,0.6161121726036072,0.4656536877155304,0.9512820839881897,0.0,1.0
擒贼先擒王,"To catch bandits, first catch the ringleader",Catch the thief first catch the king,Catch the ringleader first.,-0.9241806864738464,-0.637359082698822,-0.5231378078460693,0.7536832690238953,0.63713139295578,0.9595443606376648,0.0,1.0
一意孤行,"Go (take, have of follow) one's own way",Go one's own way,Go one's own way,-0.20052450895309448,-0.20052450895309448,-0.662790834903717,0.7535285949707031,0.7535286545753479,0.9455003142356873,0.0,0.0
可歌可泣,Heroic and moving,Can sing and cry,Stirring and heroic.,-0.10170029103755951,-0.3960161507129669,0.25051313638687134,0.831708550453186,0.6142356991767883,0.986142635345459,1.0,1.0
偷梁换柱,Resort to fraudulence,Stealing the beam and changing the column,Pull a fast one.,-1.267619013786316,-0.8439375162124634,-1.0100570917129517,0.3781348168849945,0.4229448139667511,0.9826685786247253,0.0,0.0
一叶障目，不见泰山,Have one's view of the important overshadowed by the trivial,"A leaf obstructs the eyes, but Mount Tai is not seen",Can't see the forest for the trees.,-0.8110982775688171,-0.2099432796239853,-0.8763139843940735,0.37564900517463684,0.5124224424362183,0.9213587045669556,0.0,0.0
诸如此类,Things like that (or this),And so on,Things like that.,-0.10543811321258545,0.21560043096542358,-0.44457629323005676,0.8737465143203735,0.574935257434845,0.9809115529060364,0.0,1.0
因循自误,Procrastinate until it is too late,Follow one's own mistakes,Put it off until it's too late.,-0.7472279667854309,-0.4931298792362213,-0.522580087184906,0.7053209543228149,0.41347822546958923,0.9650253653526306,0.0,1.0
偷鸡摸狗,Crooked dealings,Stalking the dog,shady dealings,-0.7366190552711487,-0.778403103351593,-0.6531973481178284,0.7747442722320557,0.5280500650405884,0.9825753569602966,1.0,1.0
攀龙附凤,Play up to people of power and influence,Pan Long Fu Feng,currying favor with the powerful,-0.6400817036628723,-1.0457398891448975,-0.9650129079818726,0.5650981664657593,0.2930588126182556,0.9562160968780518,1.0,1.0
因循守旧,Follow the beaten track (or path),Follow the beaten path,stick to the old ways,-0.05625991150736809,-0.30280622839927673,-0.5120959281921387,0.560854971408844,0.8885785937309265,0.9736698269844055,1.0,0.0
据理力争,Argue strongly on just grounds,Fight for reason,Stand up for what's right.,-0.44905316829681396,-0.2699309289455414,-0.9030150175094604,0.6179845929145813,0.6112897992134094,0.9664425253868103,0.0,1.0
谑而不虐,Tease without embarrassing,Sarcastic but not cruel,"Playful, not cruel.",-0.18479974567890167,0.049146365374326706,-0.8381805419921875,0.7223709225654602,0.7304441332817078,0.967032253742218,0.0,0.0
借花献佛,Borrow flowers to offer Buddha - offer somebody favors at the expense of another,Borrowing flowers to offer Buddha,to pass off someone else's gift as your own,-0.7352290749549866,-0.1783909797668457,-0.16867287456989288,0.5000060796737671,0.6282986402511597,0.9341638088226318,0.0,0.0
一言既出，驷马难追,What is said cannot be unsaid,"As soon as the word is spoken, the horse is hard to follow","Once you say it, you can't take it back.",-0.8017429709434509,-1.012831211090088,-0.6971995234489441,0.5884485244750977,0.4406243860721588,0.966022789478302,1.0,1.0
因势利导,Give proper guidance as the situation requires,Make the most of the situation,Make the most of the situation.,-0.1954999566078186,-0.24231958389282227,-0.2649976313114166,0.630989134311676,0.6698639988899231,0.9625108242034912,1.0,0.0
偷鸡不成蚀把米,Try to steal a chicken only to end up losing the rice,Stealing chicken will not lose rice,It backfired — you lost more than you gained.,-1.0093897581100464,-1.2765687704086304,-1.1057378053665161,0.4957942068576813,0.5360813736915588,0.9201167225837708,1.0,0.0
侥幸取胜,Win by a fluke,Get away with it,Win by a fluke,-0.7018910050392151,-0.5429656505584717,-0.7018911242485046,0.9747133851051331,0.5613863468170166,0.9747133851051331,0.0,1.0
因时制宜,Do the right thing at the right time,According to the time,Do the right thing at the right time.,-0.20896917581558228,-0.7093124985694885,-0.205216646194458,0.9452970027923584,0.40534090995788574,0.968423068523407,1.0,1.0
豁然贯通,Suddenly see the whole thing in a clear sight,All of a sudden,Everything suddenly became clear.,0.1625262349843979,-0.20492592453956604,-0.2415579855442047,0.8083999156951904,0.5611675381660461,0.9500035643577576,1.0,1.0
改弦更张,Make a fresh start,Change the tune,Make a fresh start,-0.4227149486541748,-0.49047568440437317,-0.42271503806114197,0.9873791337013245,0.5758195519447327,0.9873791933059692,1.0,1.0
一误再误,Make one error after another,Mistake over and over again,Make one mistake after another.,-0.0679185539484024,-0.3881533741950989,0.04313790798187256,0.9533160328865051,0.6633066534996033,0.9848329424858093,1.0,1.0
识时务者为俊杰,A brave man knows how to bow to circumstances,The person who knows the times is Junjie,A wise person adapts to the times.,-0.34985408186912537,-0.8150249123573303,-0.47668349742889404,0.6652378439903259,0.45840755105018616,0.960029125213623,1.0,1.0
偷天换日,Audacious scheme of cheating people,Steal the day,pull off a brazen con,-1.5184088945388794,-0.8373424410820007,-0.6379420161247253,0.3680736720561981,0.4840727746486664,0.9594916701316833,0.0,0.0
动辄得咎,Be blamed for every move (or for whatever one does),Blame at every turn,Get blamed for everything.,-0.8314965963363647,-0.5514848232269287,-0.7708331346511841,0.6842637658119202,0.4995245039463043,0.9535416960716248,0.0,1.0
攻守同盟,Military alliance (for mutual defense),Offensive and defensive alliance,mutual defense pact,-0.018012937158346176,-0.46063917875289917,-0.1641041338443756,0.8365943431854248,0.6457328200340271,0.9764987826347351,1.0,1.0
因人成事,Rely on others for success in work,It's because of people,It takes the right people to get things done.,-0.598621666431427,-1.0139402151107788,-0.3440612256526947,0.5997950434684753,0.5510740280151367,0.970641553401947,1.0,1.0
豁然开朗,Suddenly cleared up,Suddenly see the light,It suddenly dawned on me.,-0.34205731749534607,-0.5494619607925415,-0.33119797706604004,0.6656654477119446,0.7395876049995422,0.9844248294830322,1.0,0.0
一语道破,Get to the heart of the matter in a few words,In a word,You hit the nail on the head.,-0.7123698592185974,-0.6517905592918396,-0.18239569664001465,0.5454362034797668,0.512028694152832,0.9621283411979675,0.0,1.0
因材施教,Teach students in accordance with their aptitude,Teaching students according to their aptitude,Tailor instruction to each student's ability.,-0.34507909417152405,-0.4602464735507965,-0.4226480722427368,0.7451387047767639,0.901871919631958,0.9641512036323547,1.0,0.0
收回成命,Revoke a command,Take it back,Revoke the order.,-0.4388743042945862,-0.4232991635799408,-0.514988124370575,0.7685731053352356,0.534566342830658,0.973071277141571,0.0,1.0
豹死留皮,A leopard's skin survives its body,Leopard dead skin,The leopard's skin outlives the beast.,-0.7863230109214783,-0.9192445874214172,-0.8624133467674255,0.6657593846321106,0.5076778531074524,0.9465379118919373,1.0,1.0
放下屠刀，立地成佛,A wrongdoer achieves salvation as soon as he gives up evil,Put down the butcher knife and become a Buddha,Give up your wicked ways and you'll be saved.,-0.6504661440849304,-0.1219511330127716,-0.20350512862205505,0.6886382699012756,0.4677410423755646,0.9545153975486755,0.0,1.0
偃武修文,Leave military pursuits and promote culture,Yan Wu Xiuwen,Lay down arms and promote culture,-0.909481406211853,-0.8675824403762817,-0.7534017562866211,0.6684271693229675,0.2815309762954712,0.9687939286231995,0.0,1.0
七窍生烟,Foam with rage,Seven orifices smoke,Foaming at the mouth,-0.2982487976551056,-0.603728711605072,-0.5729510188102722,0.6865490078926086,0.44609346985816956,0.967557966709137,1.0,1.0
困兽犹斗,One fights to the death in desperation,Trapped beast still fighting,A cornered animal will fight to the death.,-0.6609652638435364,-0.5410123467445374,-0.8572602868080139,0.7012612819671631,0.5700117945671082,0.9597590565681458,0.0,1.0
放之四海而皆准,Valid everywhere,One size fits all,It applies everywhere.,-0.911244809627533,-0.6658889651298523,-0.9102725982666016,0.8311242461204529,0.5991790890693665,0.9891331791877747,0.0,1.0
因噎废食,Throw away the apple because of the core,Give up food due to choking,Don't throw the baby out with the bathwater.,-0.7892119288444519,-0.10546703636646271,-0.9953791499137878,0.4617060124874115,0.4856152832508087,0.9255773425102234,0.0,0.0
豺狼当道,Evil person in power,Jackal in power,The wicked are in charge.,-0.7652163505554199,-0.6185819506645203,-0.570673406124115,0.6448070406913757,0.5820822715759277,0.9760242104530334,0.0,1.0
三番五次,Again and again,Three and five times,time and time again,-0.2021203637123108,-0.030841417610645294,-0.230073481798172,0.8117770552635193,0.5605365633964539,0.9816568493843079,0.0,1.0
放长线，钓大鱼,Adopt a longterm plan to secure something big,"Long line, big fish",Play the long game.,-0.8037644028663635,-0.5993675589561462,-0.7799233794212341,0.5095330476760864,0.40438175201416016,0.9628011584281921,0.0,1.0
七上八下,Be agitated,Seven up and eight down,be on edge,-0.8757891058921814,-0.589943528175354,-1.0702372789382935,0.6566187739372253,0.38133302330970764,0.9805347323417664,0.0,1.0
假公济私,Use public office for private gain,Fake public service,Use one's office for personal gain.,-0.723506510257721,-0.4189085364341736,-0.150967076420784,0.6630864143371582,0.6168675422668457,0.9795224070549011,0.0,1.0
一物降一物,Everything has its vanquisher,One thing down one thing,There's always a bigger fish.,-1.161948561668396,-1.3640230894088745,-0.8061684966087341,0.4321003258228302,0.34815487265586853,0.9679434299468994,1.0,1.0
猫哭耗子,Shed crocodile tears,Cat crying mouse,to shed crocodile tears,-0.6273481845855713,-0.5800543427467346,-0.39478811621665955,0.7640655040740967,0.4961493909358978,0.9617782831192017,0.0,1.0
放任自流,Noninterference,Let it go,Let it run its course.,-0.5171619057655334,-0.5336297750473022,-0.9493983387947083,0.3713938295841217,0.41019007563591003,0.9835038781166077,1.0,0.0
负重致远,(of a person) be able to shoulder important tasks,Carrying weight goes far,Capable of shouldering heavy responsibilities.,-0.21272823214530945,-0.5452544689178467,-0.7701892256736755,0.6989956498146057,0.42015573382377625,0.9295641779899597,1.0,1.0
囫囵吞枣,Gulp down without thought,Swallow the dates whole,swallow it whole,-0.6362413763999939,-0.9822764992713928,-0.5364603400230408,0.5696627497673035,0.4976631700992584,0.9646531939506531,1.0,1.0
一寸丹心,A loyal heart,An inch of heart,a loyal heart,-0.6818104386329651,-0.8496821522712708,-0.6328955292701721,0.9684000015258789,0.5458673238754272,0.9865056276321411,1.0,1.0
做一天和尚撞一天钟,Follow a routine,Be a monk for a day and hit the clock,Just go through the motions.,-0.841169536113739,-0.8544976115226746,-0.7077889442443848,0.6134403944015503,0.4426347613334656,0.98408442735672,1.0,1.0
七手八脚,Too many cooks,Seven hands and eight feet,Too many cooks spoil the broth.,-1.0010160207748413,-0.7750584483146667,-1.0126787424087524,0.5775980353355408,0.4213591516017914,0.9717519879341125,0.0,1.0
故弄玄虚,Make a mystery of something,Make up mysteries,Make a mystery out of it.,-0.39361611008644104,-0.6104114651679993,-0.5902031660079956,0.8595009446144104,0.7226888537406921,0.9729316830635071,1.0,1.0
价廉物美,Low prices and fine quality,Inexpensive and good quality,Great value for money.,-0.09478308260440826,0.267794668674469,0.2671026587486267,0.6476985812187195,0.8706026673316956,0.9834510684013367,0.0,0.0
七长八短,Of uneven size,Seven long and eight short,All different sizes.,-0.975031316280365,-0.5930715203285217,-1.3740097284317017,0.6130186915397644,0.44650986790657043,0.9800867438316345,0.0,1.0
圆凿方枘,At variance with each other,Round chisel square,They're like a square peg in a round hole.,-0.9585100412368774,-1.026523232460022,-1.0594431161880493,0.37382546067237854,0.3808978497982025,0.9648511409759521,1.0,0.0
贪小失大,Covet a little and lose a lot,Greedy for the small,"Penny-wise, pound-foolish.",-1.4897888898849487,-0.7402268648147583,-1.0017808675765991,0.38984552025794983,0.5154873728752136,0.953759491443634,0.0,0.0
贫无立锥之地,Utterly destitute,A land of poverty,dirt poor,-1.027735710144043,-0.5161917209625244,-1.021631121635437,0.5721163153648376,0.5791119933128357,0.9809659719467163,0.0,0.0
效命疆场,Ready to lay down one's life on the battlefield,Serve the battlefield,Willing to lay down one's life in battle.,-0.1964382827281952,-0.7038537263870239,-0.1582927107810974,0.8969467878341675,0.5964776873588562,0.9623278975486755,1.0,1.0
教学相长,Both teachers and students make progress by learning from each other,Teaching each other,Teaching is a two-way street.,-0.4455461800098419,-0.5393257737159729,0.11389225721359253,0.405416339635849,0.6215944886207581,0.9587394595146179,1.0,0.0
一言以蔽之,Make a long story short,In a word,To make a long story short.,-0.23541247844696045,-0.4890821874141693,-0.22550827264785767,0.8755530714988708,0.5700125098228455,0.971165120601654,1.0,1.0
图穷匕见,The real intention is revealed in the end,See the picture,Their true colors are revealed.,-0.7367786765098572,-0.642812192440033,-0.40412813425064087,0.6319049596786499,0.47352364659309387,0.9625574946403503,0.0,1.0
一无可取,Good-for-nothing,Nothing is possible,utterly useless,-0.6534939408302307,-0.38236984610557556,-0.8489755988121033,0.707435667514801,0.5259251594543457,0.9905602931976318,0.0,1.0
土洋结合,Combine indigenous and foreign methods,Combination of soil and ocean,A blend of local and foreign methods.,-0.2182106077671051,-0.6947528123855591,-0.11877268552780151,0.8564414381980896,0.5484824180603027,0.9741531014442444,1.0,1.0
救亡图存,Save the nation from subjugation and ensure its survival,Save the Nation,Save the country.,-0.49856510758399963,-0.5567325353622437,-0.1629096120595932,0.606630265712738,0.643632709980011,0.9597811698913574,1.0,0.0
围魏救赵,Relieve the besieged by besieging the base of the besiegers,Surround Wei to save Zhao,Relieve the siege by attacking the enemy's base.,-0.5056654810905457,-0.6923063397407532,-0.7608123421669006,0.6842173933982849,0.43536362051963806,0.9417338967323303,1.0,1.0
费尽心机,Painstakingly,Go to great lengths,Go to great lengths.,-0.1929277628660202,-0.23123674094676971,-0.24950429797172546,0.4975234568119049,0.4925689697265625,0.9753634333610535,1.0,1.0
一五一十,Narrate systematically and in full detail,One fifty one,tell every last detail,-0.634951114654541,-0.7172490954399109,-0.6103388667106628,0.6346541047096252,0.32070520520210266,0.9642533659934998,1.0,1.0
贪生怕死,Clinging to life instead of braving death,Greedy for life,cowardly and self-preserving,-0.8211740851402283,-0.5741500854492188,-0.32002443075180054,0.4406680762767792,0.46298399567604065,0.9570490121841431,0.0,0.0
唱独角戏,Go it alone,Sing a one-man show,Go it alone.,-0.8964195847511292,-0.6605737805366516,-0.8650906085968018,0.9485402703285217,0.5201069116592407,0.9790324568748474,0.0,1.0
以蠡测海,Have a shallow understanding of a person or subject,Measure the sea with Li,to have only a superficial understanding,-1.1556404829025269,-0.821190357208252,-0.8559942841529846,0.6736099123954773,0.3366077244281769,0.951654851436615,0.0,1.0
地大物博,A big country abounding in natural wealth,Great land and abundant resources,a vast country rich in natural resources,-0.414257675409317,-0.47623178362846375,-0.4871070086956024,0.8377757668495178,0.7804511189460754,0.97001713514328,1.0,1.0
贼喊捉贼,The devil rebuking a sin,Thief shouting catch thief,The pot calling the kettle black.,-1.3544843196868896,-1.1145490407943726,-0.8355093002319336,0.38033327460289,0.4143698513507843,0.951903760433197,0.0,0.0
敢怒而不敢言,Be forced to keep one's resentment to oneself,Dare to be angry without speaking,Seething in silence.,-0.866926908493042,-0.12375414371490479,-0.7041800618171692,0.39588871598243713,0.6328070759773254,0.9460022449493408,0.0,0.0
一衣带水,A narrow strip of water,A piece of water,Only a narrow strip of water separates us.,-0.8707426190376282,-1.1420139074325562,-1.0170446634292603,0.7171035408973694,0.6143969893455505,0.9691572189331055,1.0,1.0
敝帚自珍,Cherish something of little value simply because it is one's own,Treasure the broom,To be attached to something simply because it's yours.,-0.9704684615135193,-1.1897575855255127,-0.555422306060791,0.5903081893920898,0.4692414104938507,0.9563537240028381,1.0,1.0
一问三不知,Be entirely ignorant,One question and three unknown,have no idea,-0.6774913668632507,-0.8307762742042542,-1.1638426780700684,0.5486775636672974,0.4399619400501251,0.9837972521781921,1.0,1.0
坐地分赃,Divide the booty on the spot,Divide the spoils on the ground,Split the loot on the spot.,-0.551379382610321,-0.5865305662155151,-0.9021293520927429,0.7582536339759827,0.6440747380256653,0.9586735963821411,1.0,1.0
在所不惜,Will never balk at,At all costs,will stop at nothing.,-0.8172260522842407,-0.5537021160125732,-1.0143200159072876,0.6057620644569397,0.47739025950431824,0.9629414677619934,0.0,1.0
贼去关门,Lock the door after the thief has gone,Thief to close the door,Closing the stable door after the horse has bolted.,-0.4003799855709076,-0.21061138808727264,0.1345808506011963,0.5382567048072815,0.7163801789283752,0.9667238593101501,0.0,0.0
坐观成败,Sit and watch the results of,Sit back and watch,Sit back and watch how it plays out.,-0.32152166962623596,-0.46696189045906067,-0.43790602684020996,0.7340410351753235,0.7559885382652283,0.9468157291412354,1.0,0.0
赏罚分明,Be strict and fair in meting out rewards and punishments,Clear rewards and punishments,Be firm but fair.,-0.5213611721992493,0.10621654987335205,0.1395985335111618,0.6354650855064392,0.8194023966789246,0.9685543775558472,0.0,0.0
赏心悦目,Find the scenery pleasing both to the eye and the mind,Pleasing to the eye,a delight to behold,-0.40446895360946655,-0.053550150245428085,-0.2187211662530899,0.528742253780365,0.7226837277412415,0.9495129585266113,0.0,0.0
敬酒不吃吃罚酒,Be constrained to do what one at first declined,"Toast, do not eat and drink fine",Refuse a toast and you'll be forced to drink anyway.,-1.088240385055542,-1.3231087923049927,-1.0724514722824097,0.45146551728248596,0.3750453293323517,0.9399703145027161,1.0,1.0
宾至如归,A home from home,Feel at home,Feel right at home.,-0.7282824516296387,-0.7631545662879944,-1.1340932846069336,0.5972793698310852,0.6258592009544373,0.9798774123191833,1.0,0.0
敲骨吸髓,Suck the life-blood,Bone knocking and marrow aspiration,bleed someone dry,-0.8699712753295898,-0.5613174438476562,-1.1593092679977417,0.4482862949371338,0.4679116904735565,0.9568802714347839,0.0,0.0
文不对题,Get off the subject,The text is wrong,That's off-topic.,-0.4367688000202179,-0.6554961204528809,-0.5326609015464783,0.6776029467582703,0.5295353531837463,0.9844793081283569,1.0,1.0
哄堂大笑,The whole room rocking with laughter,Laugh out loud,The whole room burst into laughter.,0.20552979409694672,-0.09429959952831268,-0.19471390545368195,0.8658201098442078,0.6061365008354187,0.970613956451416,1.0,1.0
坐困愁城,Wallow in a slough of despondency,Sitting in troubled city,Wallowing in despair.,-0.34329333901405334,-0.47013163566589355,-0.3278537094593048,0.7309800982475281,0.41735902428627014,0.9570160508155823,1.0,1.0
坐井观天,Have (or take) a very narrow view (of things),Sitting well and watching the sky,to have a narrow view of things,-0.8128408193588257,-0.6284936666488647,-0.7373381853103638,0.7889624238014221,0.4412290155887604,0.9635569453239441,0.0,1.0
哀而不伤,Deeply felt but not sentimental,Sad but not sad,Sad but not sentimental.,-0.11568556725978851,-0.5450561046600342,-0.21843233704566956,0.8598934412002563,0.5920218825340271,0.97691810131073,1.0,1.0
坐视不救,Sit back and watch without going to the rescue,Sit back and watch,Stand by and do nothing.,-0.41116270422935486,-0.5359612107276917,-0.5112978219985962,0.6684697866439819,0.6395480036735535,0.9496803879737854,1.0,1.0
文恬武嬉,(of a corrupt regime) the civil officials are indolent and the military officers frivolous,Wen Tian Wu Xi,A complacent bureaucracy and a frivolous military.,-0.9315692782402039,-0.9596811532974243,-0.8394626975059509,0.6518567204475403,0.20388934016227722,0.9225817322731018,1.0,1.0
坐享其成,Without striking a blow,Sit back and enjoy,Sit back and reap the rewards.,0.03124573454260826,0.070675328373909,-1.0657421350479126,0.43359532952308655,0.4284883439540863,0.9383638501167297,0.0,1.0
文过饰非,Gloss over one's fault,Wen Guo pretends to be wrong,Cover up one's mistakes.,-0.8992199897766113,-0.6967271566390991,-0.9984107613563538,0.6866768002510071,0.5010961294174194,0.9647467136383057,0.0,1.0
走马观花,Take a brief look at,Watching flowers on a horseback,take a quick look,-0.6721398830413818,-0.9363241195678711,-0.8711805939674377,0.8725915551185608,0.4220616817474365,0.9634096026420593,1.0,1.0
卖剑买牛,Beat swords into ploughshares,Sell swords and buy cattle,Turn swords into ploughshares.,-0.8896294832229614,-0.29169726371765137,-1.1363991498947144,0.7802989482879639,0.5301043391227722,0.9359768033027649,0.0,1.0
文人相轻,Writers like to disparage one another,Literati is light,Writers are quick to put each other down.,-0.7445655465126038,-0.9889969229698181,-0.569489061832428,0.6749465465545654,0.417878121137619,0.963607668876648,1.0,1.0
质疑问难,Raise doubts and difficult questions for discussion,Difficult to question,ask tough questions,0.021697428077459335,-0.6194512844085693,-0.0074800774455070496,0.7298983931541443,0.6419370770454407,0.96696537733078,1.0,1.0
赔了夫人又折兵,Throw the helve after the hatchet,Lost my wife and lost my army,To lose on both counts.,-1.0885663032531738,-0.7468121647834778,-1.6330375671386719,0.3598208427429199,0.35911890864372253,0.8884398341178894,0.0,1.0
以卵击石,Grossly overestimate one's own strength,Hit stone with egg,to pick a fight you can't win,-1.1247962713241577,-0.5027808547019958,-0.7002099752426147,0.4528816342353821,0.36682459712028503,0.958782434463501,0.0,1.0
以观后效,(lighten a punishment and) see how the offender behaves,Watch the aftermath,Let him off and see how he behaves.,-0.8884899616241455,-0.504820704460144,-0.9735445380210876,0.5756393671035767,0.5368359684944153,0.9286104440689087,0.0,1.0
文如其人,The writing mirrors the writer,Wen as a person,Your writing reflects who you are.,-0.5510477423667908,-0.9162997603416443,-0.7976695895195007,0.7643874287605286,0.44037625193595886,0.9606281518936157,1.0,1.0
坐山观虎斗,"Watch in safety while others fight, then reap the spoils when both sides are exhausted",Sitting on the mountain and watching the tiger fight,"Let others fight it out, then reap the rewards.",-0.7937752604484558,-0.6489841341972351,-0.5792984962463379,0.6600441336631775,0.42733559012413025,0.9352015852928162,0.0,1.0
赴汤蹈火,Go through hell,Go through fire and water,Go through hell.,-1.0436065196990967,-0.5253759026527405,-0.9795496463775635,0.9390844702720642,0.6882646083831787,0.9814979434013367,0.0,1.0
文从字顺,Readable and fluent,Text follows word order,Reads smoothly.,-0.713547945022583,-0.48295024037361145,-0.8621662259101868,0.7404183149337769,0.5098523497581482,0.9662047028541565,0.0,1.0
坐收渔利,Have victory (or an advantage) fall into one's lap,Reap the benefits,Sit back and reap the rewards.,-0.20986658334732056,-0.21404115855693817,-0.7661586999893188,0.6228781938552856,0.5618584752082825,0.9466626048088074,1.0,1.0
文武双全,Be adept with both the pen and the sword,Both civil and military,Skilled with both the pen and the sword.,-0.777588427066803,-0.855303943157196,-0.7980803847312927,0.8643539547920227,0.4358620047569275,0.9590595364570618,1.0,1.0
